language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
arhu1242,-,-,-,-,-,-,-,-,-,-,-,-,i,n,k,-,a,-,-,-,-,-,-,-,-,n,-,-,-,3,-,-,-,-,-
cogu1240,-,-,-,-,-,-,h,-,-,-,-,-,i,-,-,-,u,-,-,-,-,-,-,-,-,l,-,-,-,a,-,-,-,-,-
cent2150,-,-,e,-,-,-,T,-,-,-,-,-,a,-,t,-,a,-,-,-,-,-,-,-,-,r,-,-,-,a,-,-,-,-,-
chim1309,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,N,-,-,-,a,-,-,-,7,-
bari1297,-,-,-,-,-,-,b,3,-,g,t,S,i,-,k,b,3,-,-,-,-,-,-,-,-,r,-,-,-,3,-,-,-,-,-
chac1249,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,5,-,-,-,i,-,-,-,-,-
colo1256,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,3,-,-,-,-,-
awac1239,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,m,a,n,d,-,-,-,i,-,-,-,S,-
toto1306,-,-,-,-,-,-,t,-,-,-,-,s,-,-,-,-,u,-,-,-,-,-,t,-,-,s,-,-,-,i,-,-,-,k,-
guam1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,m,p,a,k,-
inga1252,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,r,-,-,-,u,-,-,-,-,-
