language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
piap1246,-,-,-,-,-,-,-,-,-,-,-,k,-,a,-,-,p,-,-,-,-,i,-,-,-,-
acha1250,-,-,-,-,-,-,-,-,-,-,-,k,-,u,-,-,-,-,-,-,-,i,-,-,t,a
curr1243,-,-,-,-,-,-,-,-,-,-,-,p,-,a,n,-,t,-,-,-,-,i,-,-,-,-
yucu1253,-,-,-,-,-,-,-,-,-,-,-,k,a,a,-,-,r,-,-,-,-,u,-,-,-,-
resi1247,-,-,-,-,-,-,-,-,-,-,-,k,a,a,-,-,d,-,-,-,-,o,-,-,-,-
wayu1243,-,-,-,-,-,-,-,-,-,-,-,s,a,a,-,-,h,-,-,-,-,u,-,-,n,a
wayu1243,-,-,-,-,-,-,-,-,-,-,-,s,a,a,-,-,h,-,-,-,-,u,-,-,n,a
guah1255,-,-,-,-,-,-,-,-,-,-,-,b,-,o,-,-,-,-,-,-,-,-,-,-,-,-
cuib1242,-,-,-,-,-,-,-,-,-,-,-,b,-,o,-,-,-,-,-,-,-,-,-,-,-,-
play1240,-,-,-,-,-,-,-,-,-,-,-,b,-,o,b,a,x,-,-,-,-,u,-,-,-,-
maca1259,-,p,e,y,a,k,a,t,a,r,a,b,i,a,-,-,-,-,-,-,-,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,-,-,-,-,b,-,a,b,3,t,-,-,-,-,-,-,-,-,-
mini1256,-,-,e,-,-,r,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,i,-,-,-,-
nupo1240,-,-,e,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,i,-,-,-,-
muru1274,-,-,e,-,-,r,-,-,-,-,-,-,-,e,-,-,-,-,-,-,h,i,-,-,-,-
ocai1244,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-,-,i,b,i,-,-,-,-
ocai1244,-,m,o,7,-,x,-,-,-,-,-,-,-,o,-,-,7,-,-,-,p,i,-,-,-,-
muin1242,n,-,i,-,-,-,-,-,-,-,-,b,-,a,-,-,7,-,-,-,-,u,-,-,-,-
bora1263,t,h,e,-,-,7,-,-,-,-,o,p,-,a,-,-,-,-,-,-,-,-,-,-,-,-
bora1263,t,h,e,-,-,k,-,-,-,-,-,w,a,a,-,-,n,-,-,-,-,e,-,-,-,-
bora1263,t,h,e,-,-,7,-,-,-,-,o,p,-,a,-,-,-,-,-,-,-,-,-,-,-,-
bora1263,p,h,a,-,-,k,-,-,-,-,-,w,a,a,-,-,n,-,-,-,-,e,-,-,-,-
bora1263,t,h,e,-,-,k,-,-,-,-,-,w,a,a,-,-,n,-,-,-,-,e,-,-,-,-
yuru1263,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,-,-,-,-,-,i,p,a,b,a
tuyu1244,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,-,-,-,-,-,i,-,-,-,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,-,-,-,-,-,i,-,-,-,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,-,-,-,-,-,i,-,-,-,-
cara1272,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,-,-,-,-,-,i,-,-,-,-
tatu1247,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,-,-,-,-,-,i,-,-,-,-
bara1380,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,h,-,-,-,-,i,-,-,-,-
bara1380,-,-,-,-,-,-,-,-,-,-,-,b,-,o,-,-,h,-,-,-,-,i,-,-,-,-
macu1260,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,h,-,-,-,-,i,-,-,-,-
guan1269,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,h,-,-,-,-,i,-,-,-,-
pira1254,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,h,-,-,-,-,i,-,-,-,-
tuca1252,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,h,-,-,-,-,i,-,-,-,-
desa1247,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,h,-,-,-,-,i,-,-,-,-
siri1274,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,h,-,-,-,-,i,-,-,-,-
tani1257,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,-,-,-,-,-,i,-,-,-,a
cube1242,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,-,-,-,-,-,i,-,-,-,-
