language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
piap1246,w,-,-,-,-,-,-,-,a,i,-,-,-,r,-,a,n,-,a,-
piap1246,w,a,i,r,a,n,a,w,a,i,-,-,-,r,-,a,n,-,a,-
acha1250,-,-,-,-,-,-,-,-,-,i,-,-,-,Z,-,a,n,a,a,-
acha1250,-,-,-,-,-,-,-,-,-,i,-,-,-,Z,-,a,-,-,i,-
curr1243,-,-,-,n,-,-,-,-,o,i,-,-,-,r,-,a,n,-,a,-
tari1256,-,-,-,t,-,-,-,-,-,i,-,-,-,h,w,a,p,-,a,-
tari1256,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-
tari1256,-,-,-,-,-,-,-,-,-,i,-,-,-,r,-,-,-,-,e,-
tari1256,-,-,-,-,-,-,-,-,-,i,-,-,-,r,-,-,-,-,i,-
yucu1253,w,-,e,r,-,-,a,w,a,i,-,-,-,r,-,-,-,-,a,-
yucu1253,w,-,e,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,a,-
cabi1241,7,-,-,-,-,-,-,-,-,i,-,-,-,r,-,-,-,-,a,-
bani1254,-,-,-,-,-,-,-,-,-,i,-,-,-,r,-,a,-,-,i,-
resi1247,-,-,-,-,-,-,-,-,-,i,-,-,-,d,-,-,-,-,u,-
wayu1243,-,-,-,-,-,-,-,-,-,i,-,-,-,S,-,-,-,-,a,-
wayu1243,w,-,-,-,-,-,-,-,-,a,-,-,-,S,-,-,-,-,a,-
guah1255,p,-,-,-,-,-,-,-,-,i,-,-,-,h,-,a,n,-,a,-
guah1255,p,-,-,-,-,-,-,-,-,e,-,-,-,h,-,a,n,-,a,-
cuib1242,p,-,-,-,-,-,-,-,-,e,-,-,-,h,-,a,n,-,a,-
play1240,p,-,-,-,-,-,-,-,-,e,-,-,-,h,-,a,n,-,a,-
maca1259,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,a,n,-,a,-
guay1257,p,-,-,-,-,-,-,-,-,e,-,-,-,h,-,-,-,-,-,-
sali1298,-,-,-,-,-,-,-,-,-,-,-,-,-,k,w,a,7,-,u,-
sali1298,-,-,-,-,-,-,-,-,-,-,-,-,-,k,w,a,7,-,o,-
mini1256,d,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,e,-
nupo1240,d,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,e,-
muru1274,d,-,u,r,-,-,-,-,-,u,-,-,-,-,-,-,-,-,e,-
muru1274,d,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,e,-
ocai1244,t,-,-,s,-,-,-,-,-,i,-,-,-,h,-,-,-,-,i,-
muin1242,t,-,-,-,-,-,-,-,-,3,-,-,-,x,-,o,7,-,o,-
bora1263,-,-,-,-,-,-,-,-,-,i,-,-,-,h,-,-,y,-,u,-
bora1263,t,-,-,h,-,-,-,-,-,u,-,x,p,h,-,a,y,-,o,-
bora1263,t,-,-,h,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
yuru1263,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
tuyu1244,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
waim1255,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
waim1255,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
cara1272,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
tatu1247,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
bara1380,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
macu1260,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
guan1269,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
pira1254,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
tuca1252,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
desa1247,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
siri1274,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
tani1257,r,-,-,-,-,-,-,-,-,i,-,-,-,w,-,-,-,-,e,a
cube1242,h,-,-,-,-,-,-,-,-,i,-,-,-,w,-,-,-,-,e,-
kore1283,d,-,-,Z,-,-,-,-,-,i,-,-,-,-,-,-,-,-,e,-
