language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
piap1246,-,k,-,u,-,-,s,-,-,-,-,i,-,-,-,d,u,m,a,-,-
acha1250,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,y,a,b,a,-,i
curr1243,-,k,-,u,-,-,-,-,-,-,-,i,p,-,e,d,-,-,a,-,-
resi1247,-,h,-,-,-,-,-,-,-,-,-,i,p,-,e,g,-,-,i,-,-
guah1255,-,t,-,u,-,-,l,-,-,-,-,i,-,-,-,m,-,-,a,-,-
cuib1242,-,w,-,e,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-
play1240,-,p,-,e,-,-,k,-,-,u,-,e,-,-,-,w,-,-,a,-,-
play1240,-,w,-,e,n,-,t,-,-,-,-,-,-,-,-,-,-,-,o,-,-
maca1259,-,h,-,o,-,-,b,-,-,-,-,i,-,-,-,t,-,-,-,-,-
guay1257,-,t,-,-,-,-,S,-,-,-,-,i,-,-,a,b,-,-,3,-,7
sali1298,i,t,-,u,-,-,l,-,-,-,-,i,-,-,-,m,-,-,a,-,7
mini1256,-,-,-,u,n,u,r,-,-,a,n,i,-,-,-,g,-,-,u,-,-
mini1256,-,-,-,-,-,-,r,-,-,a,n,i,-,-,-,t,-,-,a,-,-
mini1256,-,b,-,u,-,i,r,-,-,a,n,i,-,-,-,g,-,-,u,-,-
nupo1240,-,-,-,-,-,-,r,-,-,a,n,i,-,-,-,d,-,-,a,-,-
muru1274,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,o,p,e
muin1242,-,k,-,3,-,-,g,a,t,a,-,-,-,-,-,x,-,-,e,-,-
bora1263,-,-,-,3,-,-,7,-,p,o,-,-,t,-,-,h,-,-,a,-,-
bora1263,-,-,-,3,-,-,k,-,h,a,-,-,-,-,-,x,-,-,3,-,-
bora1263,-,k,h,u,-,-,k,-,w,a,-,i,7,-,-,y,-,-,u,-,-
bora1263,-,-,-,i,n,-,y,e,p,a,-,-,-,-,-,x,-,-,3,-,-
waim1255,-,d,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
waim1255,-,d,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
macu1260,-,h,-,e,-,-,s,-,-,a,-,-,-,-,-,r,-,-,o,-,-
siri1274,-,s,-,u,-,-,7,-,-,a,-,-,-,-,-,r,-,-,i,-,-
seco1241,-,k,a,i,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,-,-
puin1248,-,p,-,a,-,-,w,-,-,-,-,-,-,-,-,t,-,-,a,-,p
mala1522,-,p,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,-,a,-,-
cogu1240,-,k,-,u,-,-,-,-,-,-,-,i,-,-,-,Z,-,-,u,-,-
bari1297,-,t,-,S,-,-,-,-,-,-,-,i,-,d,a,r,-,-,3,-,-
chac1249,t,y,-,a,S,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-
colo1256,-,-,-,e,s,-,t,-,-,-,-,e,-,-,-,r,-,-,a,-,-
toto1306,-,-,-,-,-,-,T,-,-,-,-,a,-,-,-,5,-,-,a,-,-
inga1252,-,p,-,u,5,u,d,-,-,-,-,i,-,-,-,r,-,-,u,-,-
cams1241,t,x,-,u,-,-,-,-,-,-,-,a,-,-,-,S,-,-,e,-,-
paez1247,-,s,-,-,-,-,t,-,-,-,-,e,-,-,-,l,-,-,a,-,-
embe1260,-,h,-,u,-,-,-,-,-,-,-,e,p,h,o,r,-,-,o,-,-
nort2972,-,h,-,u,-,-,-,-,-,-,-,e,p,h,o,r,-,-,o,-,-
epen1239,-,h,-,o,-,-,-,-,-,-,-,i,p,h,a,r,-,-,u,-,-
epen1239,-,h,-,o,-,-,-,-,-,-,-,i,p,h,a,r,-,-,u,-,-
embe1261,-,h,-,o,-,-,-,-,-,-,-,e,p,h,a,r,-,-,u,-,-
embe1262,-,-,-,u,-,-,-,-,-,-,-,-,p,h,a,r,-,-,u,-,-
woun1238,-,t,-,-,-,-,-,-,-,-,-,-,-,h,e,r,-,-,u,-,-
yukp1241,-,-,-,-,-,-,-,-,-,-,-,a,p,-,o,t,-,-,o,-,-
