language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
piap1246,-,-,-,-,-,s,a,-,-,-,a,-,w,-,-,-,a,-,-,-,-,-,l,-,-,-,-,i,-,-
acha1250,-,-,-,-,-,d,u,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,S,-,-,-,-,i,-,-
curr1243,-,-,-,-,-,t,a,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,l,-,-,-,-,i,-,-
yucu1253,-,-,-,-,-,-,a,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,n,-,-,-,-,i,y,u
resi1247,-,-,t,s,-,h,o,-,-,-,-,-,m,a,-,-,a,t,-,s,-,-,h,-,-,-,-,i,-,-
wayu1243,-,-,-,-,-,m,a,-,-,-,a,-,w,-,-,-,3,-,-,-,-,-,-,-,-,-,-,i,-,-
guah1255,-,-,-,-,-,p,a,-,-,-,-,-,p,a,-,-,3,-,-,-,-,-,n,-,-,-,-,a,-,e
guah1255,-,-,-,-,-,p,a,-,-,-,-,-,p,a,3,p,u,-,-,-,-,-,t,-,-,-,-,a,t,o
cuib1242,-,-,-,-,-,p,a,-,-,-,-,-,p,-,-,-,u,-,-,-,-,-,n,-,-,-,-,a,-,e
cuib1242,-,-,-,-,-,p,a,-,-,-,-,-,p,o,-,-,u,-,-,-,-,-,t,-,-,-,-,o,-,-
play1240,-,-,-,-,-,p,e,-,-,-,-,-,p,-,-,-,u,t,-,o,-,-,t,-,-,-,-,o,-,-
maca1259,-,-,-,-,-,m,o,-,-,-,l,-,p,-,-,-,u,-,-,-,-,-,t,-,-,-,-,a,t,-
guay1257,-,-,-,-,-,p,a,-,-,-,-,-,p,-,-,-,u,-,-,-,-,-,d,-,n,-,-,e,-,-
guay1257,-,-,-,-,-,p,a,-,-,-,-,-,p,-,-,-,u,d,-,-,-,-,t,-,-,-,-,-,-,-
guay1257,-,-,-,-,-,p,a,-,-,-,-,-,p,-,-,-,u,-,-,-,-,-,d,-,-,-,-,-,-,-
sali1298,-,-,-,-,-,p,o,-,-,-,-,-,h,-,-,-,a,7,-,-,-,-,n,-,-,-,-,o,-,-
mini1256,-,-,-,-,-,h,a,-,-,-,i,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,e,-,-
nupo1240,-,-,-,-,-,h,a,-,-,-,i,-,k,-,-,-,u,-,-,-,-,-,n,-,-,-,-,a,-,-
muru1274,-,-,-,-,-,h,a,-,-,-,i,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,e,-,-
ocai1244,-,-,-,-,-,p,-,-,-,-,i,a,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
ocai1244,-,-,-,-,-,p,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
muin1242,-,-,-,-,-,x,a,7,a,d,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bora1263,-,-,-,-,-,-,a,7,-,t,i,-,7,-,-,-,e,h,-,-,-,-,t,-,h,-,-,e,-,-
bora1263,-,-,-,-,-,-,a,7,-,t,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
