language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
curr1243,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,m,-,-,-,b,-,-,a,-,-,-,-,-
tari1256,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,l,-,-,i,p,i,r,u,-,-,-,-,-
yucu1253,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,-,-
resi1247,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,o,b,-,-,u,-,-,-,-,-
wayu1243,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,a,S,-,-,a,-,-,-,-,-
play1240,p,e,k,o,t,-,o,k,-,-,-,-,-,-,-,-,-,-,u,-,-,-,a,-,n,t,S,i,w,-,-,a,-,-,-,-,-
mini1256,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,u
nupo1240,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,a,u,d,i,r,u
muru1274,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,u
muin1242,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,m,-,-,3,b,-,-,a,-,-,-,-,-
bora1263,-,-,-,-,-,-,-,k,-,h,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,u,p,-,-,a,-,-,-,-,-
bora1263,-,-,-,-,-,-,-,k,-,h,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,u,p,-,-,a,-,-,-,-,-
yuru1263,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,u,-,k,-,3,-,t,-,-,o,t,-,-,i,-,-,-,-,-
tuyu1244,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,u,-,k,-,3,-,t,-,-,u,t,-,-,i,-,-,-,-,-
waim1255,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,u,-,k,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
waim1255,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,u,-,k,-,3,-,g,-,-,3,-,-,-,-,-,-,-,-,-
waim1255,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,u,-,k,-,3,-,t,-,-,u,t,-,-,i,-,-,-,-,-
cara1272,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,u,-,k,-,3,-,r,-,-,i,k,-,-,a,-,-,-,-,-
tatu1247,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,u,-,k,-,3,-,r,-,-,3,k,-,-,a,-,-,-,-,-
bara1380,-,-,-,-,-,-,-,h,a,b,3,s,i,o,r,i,a,h,u,-,r,i,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
macu1260,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,u,-,k,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
macu1260,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guan1269,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,7,-,a,-,-,-,-,-,t,-,-,i,-,-,-,-,-
pira1254,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,7,-,a,-,-,-,-,-,t,-,-,i,-,-,-,-,-
tuca1252,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,7,-,a,-,-,-,-,-,t,-,-,3,-,-,-,-,-
desa1247,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,a,-,t,-,-,o,r,-,-,e,-,-,-,-,-
siri1274,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,a,7,t,-,-,o,r,-,-,e,-,-,-,-,-
tani1257,-,-,-,-,-,-,-,y,a,p,-,-,-,-,-,-,-,-,u,-,t,-,a,-,7,-,-,-,s,-,-,i,-,-,-,-,a
cube1242,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,e,-,b,-,3,-,-,-,-,-,r,-,-,i,-,-,-,b,3
kore1283,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,t,-,h,i,b,-,-,3,-,-,-,-,-
sion1247,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,t,-,-,i,g,-,-,u,-,-,-,-,-
seco1241,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,t,-,-,i,w,-,-,3,-,-,-,-,-
orej1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,3,k,-,-,a,-,-,-,-,-
cacu1241,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,d,d,-,-,-,-,-,-,a,-,-,-,7,-
hupd1244,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,t,-,-,-,b,-,-,o,-,-,-,k,-
mala1522,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,h,-,-,a,-,-,-,-,-
mala1522,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,m,-,3,-,-,-,-,-,n,-,-,a,-,-,-,-,-
arhu1242,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,h,-,-,a,-,-,-,-,-
cogu1240,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,h,-,-,a,-,-,-,-,-
cent2150,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,k,m,-,a,-,-,-,-,-,r,-,-,a,-,-,-,-,-
chim1309,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,m,-,b,-,-,-,-,-,r,-,-,i,-,-,-,-,-
chac1249,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,n,-,u,-,-,-,-,-,n,-,-,u,-,-,-,-,-
colo1256,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,n,b,u,-,-,-,-,-,t,-,-,u,-,-,-,-,-
awac1239,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,x,-,-,a,-,-,-,-,-
awac1239,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,n,-,u,-,-,-,-,-,n,-,-,u,-,-,-,-,-
toto1306,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,3,-,-,-,-,-
guam1248,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,3,-,-,-,-,-
inga1252,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,m,-,b,u,-,-,-,r,-
inga1252,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,b,a,-,-,-,-,-
cams1241,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,3,-,n,x,a,-,-,-,-,-,n,a,b,e,-,-,-,-,-
paez1247,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,w,-,-,-,e,-,-,-,-,-,t,-,-,a,-,-,-,-,-
embe1260,-,-,-,-,-,z,o,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,o,-,-,-,-,-
epen1239,-,-,-,-,t,S,o,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,o,-,-,-,-,-
epen1239,-,-,-,-,t,S,o,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,o,-,-,-,-,-
embe1261,-,-,-,-,t,S,o,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,o,-,-,-,-,-
woun1238,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,u,-,-,-,r,-
cari1279,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,b,u,r,u,-,-,-,-,-
