language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
piap1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,u,l,u,-,p,u,t,-,-,a,-,-,-,-
acha1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,a,-,a,l,i,-,-,-,-,-,-,-,-,-,-,-
curr1243,-,-,-,-,h,-,-,-,i,-,-,-,w,-,-,-,-,i,-,s,-,-,i,d,-,-,-,-,-,-,-,a,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,e,r,-,-,-,-,-,-,-,i,-,-,-,-
tari1256,-,-,-,-,n,-,-,-,i,-,-,-,t,-,-,-,-,-,-,s,u,n,e,m,-,-,-,-,-,-,-,a,-,-,-,-
yucu1253,-,-,-,-,-,-,-,-,i,-,-,-,w,-,-,-,-,i,x,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
yucu1253,-,-,-,-,-,-,-,-,i,-,-,-,w,-,-,-,-,i,x,h,-,-,-,x,-,-,-,-,-,-,-,i,-,-,-,-
cabi1241,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,i,-,-,-,-,-,r,i,-,-,-,n,-,-,o,-,-,-,-
resi1247,-,-,-,-,h,-,-,-,i,-,-,-,b,-,-,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-
wayu1243,-,-,-,-,h,-,-,-,o,-,-,-,l,-,-,-,-,o,-,t,-,-,-,s,-,-,-,-,-,-,-,3,-,-,-,-
wayu1243,-,-,-,-,-,-,-,-,i,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
guah1255,-,-,-,-,t,u,-,l,u,-,-,-,p,-,-,-,-,u,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,-,-
guah1255,-,-,-,-,-,-,-,-,i,-,-,-,w,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,i,-,-
cuib1242,-,-,-,-,-,-,-,-,o,-,-,-,p,-,-,-,-,i,-,t,e,-,i,t,-,-,-,-,-,-,-,o,-,-,-,-
play1240,-,-,-,-,-,-,-,-,i,-,-,-,p,-,-,-,-,i,-,t,a,h,i,t,-,-,-,-,-,-,-,o,-,-,-,-
maca1259,-,-,-,-,h,-,-,-,a,r,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,t,-,-
guay1257,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,i,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,e,h,t
sali1298,-,-,-,-,s,-,-,-,e,-,-,-,p,-,-,-,-,u,-,7,-,-,-,d,-,-,-,-,-,-,-,i,-,-,-,-
mini1256,-,-,-,-,-,-,-,-,u,-,-,-,k,-,-,-,-,u,-,-,-,-,-,d,-,-,-,-,-,-,-,u,-,-,-,-
nupo1240,-,-,-,-,-,-,-,-,u,-,-,-,k,-,-,-,-,u,-,-,-,-,-,d,-,-,-,-,-,-,-,o,-,-,-,-
muru1274,-,-,-,-,-,-,-,-,u,-,-,-,k,-,-,-,-,u,-,-,-,-,-,d,-,-,-,-,-,-,-,u,-,-,-,-
ocai1244,-,-,-,-,-,-,-,-,o,7,-,-,x,-,-,-,-,o,-,7,-,-,-,t,-,-,y,-,-,-,-,o,-,-,-,-
muin1242,-,-,-,-,m,-,-,-,e,-,-,-,k,-,-,-,-,3,-,-,-,-,-,r,3,g,-,-,-,-,-,a,-,i,-,-
bora1263,-,-,-,-,m,-,-,-,3,-,-,-,k,-,h,-,-,u,-,-,-,-,-,r,3,k,w,-,-,-,-,a,-,-,-,-
bora1263,-,-,-,-,m,-,-,-,3,-,-,-,k,-,h,-,-,u,-,-,-,-,-,r,u,k,w,-,-,-,-,a,-,-,-,-
yuru1263,-,-,-,-,y,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,a,w,-,-,-,-,-,-,-,3,-,-,-,-
tuyu1244,-,-,-,-,y,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,a,w,-,-,-,-,-,-,-,3,-,-,-,-
waim1255,-,-,-,-,y,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,a,w,-,-,-,-,-,-,-,3,-,-,-,-
waim1255,-,-,-,-,y,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cara1272,-,-,-,-,y,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tatu1247,-,-,-,-,y,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bara1380,-,-,-,-,y,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
macu1260,-,-,-,-,y,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,a,g,-,-,-,-,-,-,-,a,-,-,-,-
guan1269,-,-,-,-,y,-,-,-,a,7,p,i,t,-,S,-,-,o,-,7,-,-,a,k,-,-,-,-,-,-,-,a,-,-,-,-
pira1254,-,-,-,-,y,-,-,-,a,7,p,i,k,-,-,-,-,o,-,7,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
tuca1252,-,-,-,-,y,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,a,w,-,-,-,-,-,-,-,3,-,-,-,-
