language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
piap1246,-,-,-,-,-,-,u,-,-,-,l,i,b,-,a,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
acha1250,-,-,k,-,-,-,u,-,-,e,l,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
curr1243,-,-,m,-,-,-,o,-,-,-,r,-,-,-,o,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
tari1256,-,-,m,-,-,-,o,-,-,n,r,-,-,-,u,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
yucu1253,-,u,7,-,-,-,u,-,-,-,w,-,-,-,a,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
resi1247,-,-,n,-,-,-,o,-,-,t,s,-,-,-,i,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
guah1255,-,-,k,-,-,-,u,e,r,e,r,-,-,-,e,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
cuib1242,-,-,-,-,-,-,-,-,-,-,d,-,-,-,e,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,n,-,-,a,-
cuib1242,-,-,k,-,-,-,u,-,-,e,r,-,-,-,a,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
play1240,-,-,-,-,-,-,-,-,d,i,x,-,-,-,o,-,-,n,-,-,-,-,-,-,-,-,-,t,-,-,-,-,o,-,-,-,-,-,-
play1240,-,-,k,-,-,-,u,-,-,e,r,-,-,-,o,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
play1240,-,-,k,-,-,-,u,e,r,e,r,-,-,-,e,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
