language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
piap1246,-,-,-,i,-,-,-,k,-,-,-,-,u,-,-,-,-,l,-,-,-,-,-,i,-
piap1246,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,l,-,-,-,-,-,a,-
curr1243,-,-,-,i,-,-,-,k,-,-,-,-,o,-,-,-,-,l,-,-,-,-,-,i,-
yucu1253,-,-,-,i,-,-,-,y,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,i,-
resi1247,-,-,-,-,-,-,-,h,-,a,-,-,a,-,-,-,-,d,-,-,-,-,-,u,-
wayu1243,m,o,l,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,-,-,-,-,o,-
guah1255,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,a,-
cuib1242,t,-,-,-,-,-,-,s,-,-,-,-,a,p,e,i,n,d,-,-,-,-,-,u,-
cuib1242,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,a,-
play1240,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,a,-
maca1259,-,-,-,-,-,-,-,t,-,-,-,-,o,-,-,-,-,l,-,-,-,-,-,-,-
maca1259,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-,-,-,7,-,-,-,-,-,-,-
sali1298,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,w,-,-,-,-,-,e,-
mini1256,-,-,-,-,-,-,-,p,-,-,-,-,u,-,-,-,-,r,-,i,-,-,k,u,-
mini1256,-,-,-,-,-,-,-,h,-,-,-,-,u,-,-,-,-,r,-,i,n,i,5,o,-
nupo1240,-,-,-,-,-,-,-,h,-,-,-,-,u,-,-,-,-,r,-,i,-,-,-,-,-
muru1274,-,-,-,-,-,-,-,p,-,-,-,-,u,-,-,-,-,r,-,i,-,-,k,u,-
ocai1244,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,5,-,i,7,-,x,o,-
ocai1244,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,z,-,o,7,d,z,o,-
muin1242,-,-,-,-,-,-,-,t,-,-,-,-,3,-,-,-,-,r,-,e,-,-,x,e,-
bora1263,-,-,-,-,-,-,-,k,h,-,u,m,u,-,-,-,-,-,-,-,-,-,h,3,-
bora1263,-,-,-,-,-,-,-,k,h,-,u,m,u,-,-,-,-,-,-,-,-,-,x,3,-
bora1263,-,-,-,-,-,-,-,p,h,a,a,b,a,-,-,-,-,-,-,-,-,-,7,o,-
yuru1263,-,-,d,i,a,b,a,k,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
tuyu1244,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,b,-,-,-,-,-,a,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
waim1255,-,-,d,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,a,-
cara1272,-,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,a,-
bara1380,-,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,a,-
macu1260,b,u,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
guan1269,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,i,-
pira1254,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,i,-
tuca1252,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
siri1274,b,a,y,-,a,p,e,y,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-
tani1257,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,i,-,-,-,-,-,a,-
cube1242,b,o,-,-,a,-,-,k,-,-,-,-,u,-,-,3,-,b,-,-,-,-,-,o,-
kore1283,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,3,-
sion1247,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
seco1241,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,d,-,-,-,-,-,i,-
cacu1241,-,-,-,-,-,-,-,t,-,-,-,-,3,-,-,-,-,h,-,-,-,-,-,-,-
cacu1241,-,-,-,-,-,-,-,t,-,-,-,-,3,-,-,-,-,h,-,-,-,-,-,-,-
nuka1242,-,-,5,a,-,-,-,k,-,-,-,-,o,-,-,-,-,7,-,-,-,-,y,e,-
puin1248,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,w,-,-,-,-,-,a,-
arhu1242,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,n,g,w,-,-,-,i,-
cogu1240,-,-,-,-,-,-,-,t,-,-,-,-,u,t,-,u,-,l,g,-,-,-,-,a,-
cent2150,-,-,-,-,-,-,-,r,a,-,-,-,u,-,-,-,-,-,k,w,-,-,-,a,-
chim1309,-,-,-,-,-,-,-,s,-,-,-,-,a,-,-,-,-,N,k,u,-,-,-,a,-
chim1309,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,N,-,w,-,-,-,a,7
chac1249,-,-,p,i,-,-,-,t,S,-,-,-,i,-,-,-,-,l,-,-,-,-,y,i,-
colo1256,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,n,-,-,-,-,p,i,-
awac1239,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,x,t,u,-,-,x,a,-
inga1252,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,r,t,u,-,-,g,a,-
embe1260,-,-,t,-,-,-,-,S,h,-,-,-,i,-,-,-,-,b,-,i,-,-,g,i,-
nort2972,-,-,t,-,-,-,-,S,h,-,-,-,i,-,-,-,-,b,-,i,-,-,g,i,-
epen1239,-,-,-,-,-,-,-,s,-,-,-,-,i,-,-,-,-,b,-,-,-,-,-,i,-
epen1239,-,-,-,-,-,-,-,s,-,-,-,-,i,-,-,-,-,b,-,-,-,-,-,i,-
epen1239,-,-,-,-,-,-,-,b,-,-,-,-,e,-,-,-,-,b,-,e,-,-,r,e,-
embe1261,-,-,-,-,-,-,-,s,-,-,-,-,i,-,-,-,-,b,-,-,-,-,-,i,-
embe1262,-,-,-,-,-,-,-,s,-,-,-,-,i,-,-,-,-,b,-,-,-,-,-,i,-
woun1238,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,h,-,o,-,-,d,-,-
woun1238,-,-,-,-,-,-,-,b,-,-,-,-,e,-,-,-,-,b,-,e,-,-,r,-,-
cari1279,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,r,-,i,-,-,s,a,-
