language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
piap1246,-,-,-,-,-,-,-,-,-,-,k,-,a,-,-,w,a,-,-,n,-,a,-,i,-,r,-,-,e,-,-,-,-,-
curr1243,-,-,-,-,-,-,-,-,-,-,k,-,a,-,-,w,a,-,-,n,-,-,-,e,-,r,-,-,o,-,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,-,-,k,-,a,-,-,u,a,-,-,n,-,-,-,e,-,r,-,-,e,-,-,-,-,-
yucu1253,-,-,-,-,-,-,-,-,-,-,k,-,a,-,-,w,a,-,-,7,-,a,-,-,-,x,-,n,e,-,-,-,-,-
resi1247,-,-,-,-,-,-,-,-,-,-,k,-,a,7,-,b,a,-,-,t,-,-,-,-,-,s,-,-,i,-,-,-,-,-
wayu1243,-,-,-,-,-,-,-,-,-,-,h,-,a,-,-,y,a,-,-,p,-,-,-,-,-,-,-,-,a,-,-,-,-,-
guah1255,-,-,-,-,-,-,-,-,-,-,m,-,a,n,e,p,a,-,-,-,-,-,-,-,-,t,-,-,o,-,-,-,-,-
guah1255,-,-,-,-,-,-,-,-,-,-,m,-,a,n,T,p,a,-,-,n,-,a,-,i,-,t,-,-,o,-,-,-,-,-
cuib1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,e,-,-,t,-,a,-,-,-,r,-,-,3,-,-,-,-,-
maca1259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,a,-,-,n,-,-,-,i,-,k,-,-,-,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,-,-,-,t,-,a,-,-,p,-,-,-,-,-,-,-,i,p,t,-,-,-,-,-,-,-,-
sali1298,-,-,-,-,-,-,-,-,-,-,w,-,a,-,-,h,a,-,-,-,-,-,-,-,-,7,-,5,u,-,-,-,-,-
mini1256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,a,-,u,r,-,a,-,-,-,d,-,-,o,-,-,-,-,-
nupo1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,a,-,u,r,-,a,-,-,-,d,-,-,o,-,-,-,-,-
muru1274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,a,-,u,r,-,a,-,-,-,d,-,-,a,-,-,-,-,-
muru1274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,a,-,u,r,-,a,-,-,-,d,-,-,o,-,-,-,-,-
ocai1244,-,-,-,-,-,-,-,o,-,-,r,-,o,-,-,b,-,-,u,t,-,y,-,-,-,-,-,-,o,-,-,-,-,-
muin1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,3,k,u,g,-,a,-,-,-,-,-,-,i,-,-,-,-,-
bora1263,-,-,-,-,-,-,-,u,-,-,k,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
bora1263,-,-,-,-,-,-,-,u,-,-,k,-,-,-,-,h,o,k,w,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
