language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
piap1246,-,-,-,w,-,-,-,-,a,-,-,-,-,i,-,-,w,-,-,-,i,-,-,-,-,t,-,-,-,-,-,-,a,-,-
curr1243,-,-,-,p,-,-,-,-,a,-,r,a,m,a,-,-,l,-,-,-,e,-,-,-,-,t,-,-,-,-,-,-,a,-,-
yucu1253,-,-,-,w,i,l,a,7,a,-,r,-,-,u,-,-,h,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
resi1247,-,-,-,h,-,-,-,-,-,-,-,-,-,i,-,-,b,-,-,-,e,-,-,-,-,7,-,-,-,-,-,-,a,s,i
wayu1243,-,-,-,w,-,-,-,-,a,-,r,-,-,a,-,-,l,-,-,-,o,-,-,-,-,7,-,-,-,-,-,-,u,-,-
guah1255,-,-,-,-,-,-,-,s,e,-,s,-,-,e,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,i,-,-
guah1255,-,-,-,-,-,-,-,k,o,-,t,-,-,i,w,-,b,-,-,-,3,-,-,-,-,r,-,-,-,-,-,-,3,-,-
guah1255,-,-,-,p,e,m,a,t,a,-,t,-,-,-,-,-,s,-,-,-,e,-,-,-,-,r,-,-,-,-,e,p,a,-,-
cuib1242,-,-,-,p,e,n,-,t,a,-,t,-,-,-,-,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,u,-,-
play1240,-,-,-,p,e,m,a,t,a,-,t,o,p,i,-,-,w,-,-,-,a,-,-,-,-,r,-,-,-,-,i,k,a,-,-
guay1257,-,-,-,m,-,-,-,-,a,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,a,7,-
sali1298,-,-,-,-,i,-,-,d,-,-,Z,-,-,u,-,-,p,-,-,-,o,-,-,-,-,h,-,-,-,-,-,-,a,-,-
sali1298,-,-,-,-,i,-,-,d,-,-,Z,-,-,o,-,-,b,-,-,-,o,-,-,-,-,h,-,-,-,-,-,-,a,-,-
sali1298,-,-,-,-,i,-,-,d,-,-,Z,-,-,u,-,-,b,-,-,-,o,-,-,-,-,h,-,-,-,-,-,-,a,-,-
mini1256,-,-,-,h,-,-,-,-,a,-,r,-,-,a,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-
nupo1240,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-
muru1274,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,p,-,-,-,o,-,g,-,-,-,-,-,-,-,-,-,u,-,-
ocai1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,o,-,-,-,-,t,-,-,-,-,-,S,o,-,-
ocai1244,-,-,-,d,-,-,-,-,-,-,y,-,-,o,-,-,b,-,-,-,a,a,7,i,-,t,-,-,-,-,-,y,a,-,-
muin1242,-,-,-,m,-,-,-,-,i,-,n,-,-,i,-,-,7,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,i,-,-
muin1242,t,S,a,7,-,-,-,-,i,-,m,-,-,3,-,-,g,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,i,-,-
bora1263,-,-,-,m,-,-,-,-,e,7,n,-,-,3,x,k,h,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,u,-,-
bora1263,-,-,-,-,-,-,-,-,-,-,n,-,-,i,-,k,w,-,-,-,a,-,m,3,-,7,-,-,-,-,-,-,o,-,-
yuru1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,e,-,s,a,-,r,-,i,-,b,e,t,o,-,-
yuru1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,o,-,s,-,-,-,-,e,-,b,e,t,o,-,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,o,-,t,o,-,r,-,-,-,-,-,-,o,-,-
