language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
piap1246,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,S,-,-,-,-,a,-,-,m,-,u,-,-,-,-,-,-
piap1246,-,-,-,a,-,-,p,-,-,-,i,-,t,-,-,-,S,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
acha1250,-,-,-,a,-,-,h,-,-,-,-,-,t,-,-,-,S,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
acha1250,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,S,-,-,-,-,a,-,-,m,-,u,-,-,-,-,-,-
curr1243,-,y,-,a,m,o,r,-,-,-,i,-,t,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
tari1256,-,-,-,a,m,-,p,-,-,-,i,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
yucu1253,-,-,-,a,-,-,p,-,-,-,i,-,y,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
resi1247,-,h,-,a,-,-,p,-,-,-,i,-,t,-,-,-,s,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
wayu1243,-,-,-,-,-,-,p,3,-,-,i,t,t,-,-,-,S,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
guah1255,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-,-,-,a,-,-,m,-,u,l,-,-,i,-,-
cuib1242,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-,-,-,a,-,-,m,-,u,r,-,-,i,-,-
play1240,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,S,-,-,-,-,a,-,-,m,-,u,r,-,-,i,-,-
maca1259,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-,-,-,a,-,-,m,-,u,l,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,S,-,-,-,-,a,-,-,m,-,a,-,-,-,-,-,-
sali1298,-,r,-,a,-,-,p,-,-,-,o,-,7,-,-,-,g,-,-,-,-,a,-,-,7,d,u,-,-,-,-,-,-
mini1256,-,-,-,-,-,-,m,-,-,-,e,-,r,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
nupo1240,-,-,-,-,-,-,m,-,-,-,e,-,r,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
muru1274,-,-,-,-,-,-,m,-,-,-,e,-,r,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
ocai1244,-,-,-,-,-,-,n,-,-,-,a,-,n,-,-,-,-,o,o,p,-,a,-,-,-,-,-,-,-,-,-,-,-
ocai1244,-,-,-,-,-,-,h,-,-,-,a,-,t,-,-,-,S,o,-,b,-,a,-,-,-,-,-,-,-,-,-,-,-
muin1242,-,-,-,-,-,-,m,-,-,-,e,-,n,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
bora1263,p,h,a,a,-,-,p,h,-,-,a,-,y,-,-,-,-,-,-,p,a,a,-,-,-,-,-,-,-,-,-,-,-
bora1263,-,-,-,-,-,-,m,-,-,-,e,-,n,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
yuru1263,-,-,-,-,-,-,y,-,-,-,e,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
tuyu1244,-,k,-,-,-,i,y,-,-,-,e,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
waim1255,-,k,-,-,-,i,y,-,-,-,e,-,-,-,-,-,h,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
waim1255,-,k,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cara1272,-,-,-,-,-,-,y,-,-,-,e,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
tatu1247,-,-,-,-,-,-,y,-,-,-,e,-,-,-,-,-,h,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
bara1380,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
macu1260,-,-,-,-,-,-,y,-,-,-,e,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
guan1269,-,-,-,-,-,-,y,-,-,-,e,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
pira1254,-,-,-,-,-,-,y,-,-,-,e,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
tuca1252,-,-,-,-,-,-,y,-,-,-,e,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
desa1247,-,-,-,-,-,-,y,-,-,-,e,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
siri1274,-,-,-,-,-,-,y,-,-,-,e,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
tani1257,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,-,k,a,-,p,-,e,-,-,-,-,-,r,a,k,a,-,-
cube1242,-,w,-,a,r,i,h,-,-,-,e,-,-,-,-,-,h,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
kore1283,-,-,-,-,-,-,s,-,-,-,e,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-
sion1247,-,-,-,-,-,-,y,-,-,-,a,-,-,-,-,-,7,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
seco1241,-,-,-,-,-,-,y,-,-,-,a,-,-,-,-,-,7,-,-,w,-,3,-,-,-,-,-,-,-,-,-,-,-
orej1242,-,-,-,-,-,-,y,-,-,-,a,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
cacu1241,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,7,-,-,-,-,-
puin1248,-,-,-,-,-,-,d,-,-,-,e,-,-,-,-,-,p,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
hupd1244,-,-,-,-,-,-,t,-,-,-,o,-,-,-,-,-,h,-,-,-,-,o,-,-,-,-,-,t,-,-,-,-,-
mala1522,-,-,-,-,-,-,-,u,-,r,u,-,n,-,-,-,-,-,-,-,-,u,-,k,w,-,-,-,-,-,a,-,-
arhu1242,-,-,-,-,-,-,s,a,-,h,i,-,n,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
cogu1240,-,-,-,-,-,-,n,u,k,b,i,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
cent2150,-,-,-,-,-,-,s,e,-,y,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
chac1249,-,-,-,a,-,-,v,-,-,-,e,-,n,d,y,u,S,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
colo1256,-,-,-,-,-,-,p,-,-,-,a,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
awac1239,-,-,-,-,-,-,s,a,-,-,i,-,n,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
inga1252,-,-,-,-,-,-,s,a,-,-,y,-,n,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
inga1252,-,-,-,-,-,-,s,a,-,x,i,-,n,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
cams1241,-,-,-,-,-,-,s,a,-,-,i,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
paez1247,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,7,k,h,-,-,-,-,-,-,-,-
embe1260,-,-,-,-,-,-,b,-,-,-,i,-,d,-,-,-,-,-,-,-,-,o,-,-,w,-,-,-,-,-,e,-,-
nort2972,-,-,-,-,-,-,p,-,-,-,i,-,d,-,-,-,-,-,-,-,-,o,-,-,w,-,-,-,-,-,e,-,-
epen1239,-,-,-,-,-,-,p,-,-,-,i,-,d,-,-,-,-,-,-,-,-,o,-,-,w,-,-,-,-,-,e,-,-
epen1239,-,-,-,-,-,-,p,-,-,-,i,-,d,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,i,-,-
embe1261,-,-,-,-,-,-,b,-,-,-,i,-,d,-,-,-,-,-,-,-,-,o,-,-,w,-,-,-,-,-,e,-,-
embe1262,-,-,-,-,-,-,b,-,-,-,i,-,d,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,e,-,-
embe1262,-,-,-,-,-,-,b,-,-,-,i,-,d,-,-,-,-,-,-,-,-,o,-,-,w,-,-,-,-,-,e,-,-
woun1238,-,-,-,-,-,-,b,-,-,-,e,-,r,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,u,t,S
cari1279,-,-,-,-,-,-,h,a,-,k,i,-,r,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
