language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
acha1250,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,i,-,S,-,i,k,-,-,u,-,-
curr1243,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,i,-,-,-,-,r,-,-,o,-,-
yucu1253,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,i,-,-,-,-,r,-,-,u,-,-
resi1247,-,S,o,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,o,-,-
guah1255,-,k,a,-,-,-,-,-,w,i,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
guah1255,-,-,3,-,-,-,t,-,h,3,-,-,b,-,-,3,-,-,-,-,r,-,-,3,-,-
cuib1242,-,-,3,-,-,-,t,-,h,3,-,-,b,-,-,3,-,-,-,-,r,-,-,3,-,-
play1240,-,-,3,-,-,-,t,-,-,3,-,-,b,-,-,3,-,-,-,-,r,-,-,3,-,-
maca1259,-,-,-,-,-,-,-,-,p,a,-,-,b,-,-,-,-,-,-,-,-,-,-,o,-,-
guay1257,-,k,u,-,i,s,t,-,-,3,7,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-
guay1257,-,k,u,-,i,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mini1256,-,m,u,-,i,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-
mini1256,-,h,o,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
mini1256,e,g,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
mini1256,d,Z,o,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
nupo1240,d,Z,o,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
muru1274,-,m,u,-,i,-,d,-,-,o,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,u
ocai1244,-,x,o,-,-,-,d,-,z,o,-,-,h,-,-,-,-,-,-,-,-,-,-,o,-,-
muin1242,-,k,3,-,-,-,g,-,-,a,-,-,7,-,-,-,-,-,-,-,-,-,-,o,-,-
bora1263,p,h,3,-,k,-,h,-,-,a,-,-,h,-,-,-,-,-,-,-,-,-,-,3,-,-
yuru1263,-,w,a,-,-,-,d,-,-,o,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
tuyu1244,-,w,a,-,-,-,d,-,-,o,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
waim1255,-,w,a,-,-,-,d,-,-,o,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
waim1255,-,w,a,-,-,-,d,-,-,o,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
cara1272,-,w,a,-,-,-,d,-,-,o,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
tatu1247,-,w,a,-,-,-,d,-,-,o,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
bara1380,-,-,-,-,-,-,r,-,-,o,-,-,h,-,-,-,-,-,-,-,-,-,-,i,-,-
macu1260,-,-,-,-,-,-,r,-,-,u,-,-,h,-,-,-,-,-,-,-,-,-,-,i,-,-
guan1269,-,w,a,7,-,-,d,-,-,o,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
pira1254,-,w,a,7,-,-,d,-,-,o,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
tuca1252,-,w,a,7,-,-,r,-,-,o,-,-,p,-,-,-,-,-,-,-,h,-,-,i,-,-
desa1247,-,-,-,-,-,-,d,-,-,u,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
siri1274,-,k,a,-,-,-,r,-,-,a,-,-,b,-,-,-,-,-,-,-,-,-,-,3,-,-
siri1274,-,-,-,-,-,-,d,-,-,u,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
tani1257,-,w,e,y,i,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,k,a
cube1242,-,b,3,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,-
kore1283,-,-,-,-,-,-,s,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
sion1247,-,-,-,-,-,-,s,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
seco1241,-,-,-,-,-,-,-,-,-,u,-,-,h,-,-,-,-,-,-,-,-,-,-,e,-,-
orej1242,-,-,-,-,-,-,-,-,-,3,-,-,h,-,-,e,-,-,-,-,b,-,-,3,-,-
cacu1241,-,b,-,-,-,-,-,-,-,3,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-
nuka1242,-,d,-,-,-,-,Z,-,-,u,-,-,w,-,-,-,-,-,-,-,-,-,-,e,-,-
puin1248,-,h,-,-,-,-,-,-,-,o,m,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-
hupd1244,-,y,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-
mala1522,-,-,-,-,-,-,-,-,-,u,r,a,m,-,-,i,-,-,-,-,-,-,-,-,-,-
arhu1242,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,i,-,k,-,-,-,-,-,u,-,-
cogu1240,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,i,s,k,-,-,-,-,-,u,-,-
cent2150,-,-,-,-,-,-,-,-,-,u,-,-,7,-,n,a,-,k,-,a,r,-,-,a,-,-
chim1309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,a,a,r,-,-,u,7,-
bari1297,-,-,-,-,-,-,t,-,S,i,k,-,b,3,d,i,-,-,-,-,r,-,-,3,-,-
colo1256,-,-,-,-,-,-,k,o,l,i,n,-,p,-,-,a,-,k,-,-,-,-,-,o,-,-
awac1239,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,S,-,-,-,-,-,a,-,-
awac1239,-,-,-,-,-,-,k,-,w,i,n,-,-,-,-,-,-,k,-,-,w,-,-,a,-,-
inga1252,-,-,-,-,-,-,t,-,S,u,m,-,b,-,-,-,-,-,-,-,-,-,-,u,-,-
cams1241,-,-,-,-,-,-,t,-,S,u,m,-,b,-,-,-,-,-,-,-,-,-,-,o,-,-
embe1260,-,-,-,-,-,-,-,-,-,a,s,-,-,-,-,a,-,-,-,-,s,-,-,a,-,-
epen1239,-,-,-,-,-,-,-,-,-,a,s,-,p,-,-,i,-,-,-,-,d,-,-,a,-,-
epen1239,-,-,-,-,-,-,d,-,-,o,t,-,h,-,-,e,-,-,-,-,d,-,-,e,-,-
embe1261,-,-,-,-,-,-,d,-,-,o,t,-,h,-,-,e,-,-,-,-,n,-,-,e,-,-
embe1262,-,-,-,-,-,-,d,-,-,o,t,-,h,-,-,e,-,-,-,-,n,-,-,e,-,-
woun1238,-,-,-,-,-,-,d,-,-,u,t,-,h,-,-,e,-,g,-,-,m,i,-,e,-,-
yukp1241,-,-,-,-,-,-,k,-,-,o,-,-,m,-,-,e,-,-,-,-,r,-,-,a,-,-
yukp1241,-,-,-,-,-,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,r,u,k,a,-,-
