language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
piap1246,-,-,-,-,-,-,-,-,w,-,-,-,-,e,-,-,m,-,-,i,-,a,k,-,-,-,-,a,-,-,-,-
acha1250,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,m,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
curr1243,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,m,-,-,i,-,-,k,-,-,-,-,a,-,-,-,-
tari1256,-,-,u,-,e,-,-,-,h,-,-,-,-,e,-,-,m,a,n,i,-,-,p,-,-,-,-,e,-,-,-,-
yucu1253,-,-,-,-,-,-,-,-,h,-,-,-,-,e,-,-,m,-,-,a,7,a,k,-,a,h,-,e,-,-,-,-
resi1247,-,-,-,-,-,-,-,-,h,-,-,-,-,e,7,-,m,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
wayu1243,-,-,-,-,-,-,-,-,-,-,-,-,-,a,a,-,p,-,-,-,-,-,-,-,a,-,-,a,-,-,-,-
wayu1243,-,-,-,-,-,-,-,-,-,-,-,-,-,a,a,-,p,-,-,a,-,-,h,-,a,-,-,a,-,-,-,-
guah1255,-,-,-,-,-,-,-,-,n,-,-,-,-,a,-,-,m,-,-,u,-,-,x,-,u,n,-,a,-,-,-,-
guah1255,-,-,-,-,-,-,-,-,h,-,-,-,-,u,-,-,m,-,-,e,-,-,t,-,a,n,-,e,-,-,-,-
cuib1242,-,-,-,-,-,-,-,-,h,-,-,-,-,u,-,-,m,-,-,e,-,-,t,-,a,n,-,e,-,-,-,-
play1240,-,-,-,-,-,-,-,-,h,-,-,-,-,u,-,-,m,-,-,e,-,-,t,-,a,n,-,e,-,-,-,-
maca1259,-,-,n,-,a,-,-,-,k,-,-,-,-,u,-,-,-,-,-,e,-,-,t,-,-,-,-,-,-,-,-,-
guay1257,-,-,n,-,a,e,-,-,w,-,-,-,-,e,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,-,h,-,-,-,-,u,-,-,m,-,-,-,-,-,t,-,e,n,-,-,-,-,-,-
sali1298,i,a,7,s,a,-,-,-,h,-,-,-,-,a,-,-,-,-,-,-,-,-,7,-,-,-,-,a,-,-,-,-
mini1256,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,k,-,a,d,-,e,-,-,-,-
nupo1240,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,k,-,a,d,-,e,-,-,-,-
muru1274,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,k,-,a,d,-,e,-,-,-,-
ocai1244,-,-,-,-,-,-,-,-,x,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,a,x,-,a,-,-,-,-
muin1242,-,-,-,-,-,-,-,-,g,-,-,-,-,u,-,-,-,-,-,-,-,-,-,b,u,7,-,i,-,-,-,-
bora1263,-,-,-,-,-,-,-,-,t,S,-,-,-,e,-,-,-,-,-,-,-,-,-,p,-,-,-,o,-,-,-,-
bora1263,-,-,-,-,-,-,-,-,t,S,-,-,-,e,-,-,-,-,-,-,-,-,-,p,-,-,-,o,-,-,-,-
bora1263,-,-,-,-,-,-,-,-,t,S,i,n,y,e,-,-,m,-,-,u,-,-,k,h,u,n,-,u,-,-,-,-
