language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
piap1246,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,t,-,-,u,w,-,-,-,i,-,-,-,-,-,-,-
piap1246,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,l,-,-,a,-,-,-,-,i,-,-,-,-,-,-,-
acha1250,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,Z,-,-,a,-,-,-,-,i,-,-,-,-,-,-,-
curr1243,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,r,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-
yucu1253,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,7,-,-,a,r,-,-,-,e,-,-,-,-,-,-,-
resi1247,-,-,-,-,-,-,S,-,-,-,-,-,-,o,-,-,h,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
guah1255,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,r,-,-,a,-,-,-,-,i,-,-,-,-,-,-,-
guah1255,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,y,-,-,u,w,-,-,-,i,-,-,-,-,-,-,-
cuib1242,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,y,-,-,u,w,-,-,-,i,-,-,-,-,-,-,-
play1240,-,-,-,-,-,-,p,-,-,-,-,-,-,a,-,-,v,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-
maca1259,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,3,r,-,-,-,-,-,-
guay1257,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,r,-,-,a,-,-,-,-,e,w,-,-,-,-,-,-
guay1257,-,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,t,-,S,o,-,-,-,-,-,-,-,-,-,-,-,-
sali1298,-,-,i,-,-,-,x,-,-,-,-,-,-,u,-,-,s,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-
mini1256,-,-,-,-,-,-,m,-,-,u,-,-,-,i,-,-,d,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
nupo1240,-,-,-,-,-,-,m,-,-,u,-,-,-,i,-,-,d,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
muru1274,-,-,-,-,-,-,m,-,-,u,-,-,-,i,-,-,d,o,k,a,-,-,-,-,u,-,-,-,-,-,-,-
muin1242,-,-,-,-,-,-,p,-,-,e,k,-,-,a,-,-,x,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-
bora1263,-,-,k,-,-,-,h,-,-,u,k,-,w,a,-,-,7,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
bora1263,-,-,p,-,-,-,h,-,-,3,k,-,h,a,-,-,x,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-
yuru1263,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tuyu1244,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,a,-,-,s,o,-,r,o
waim1255,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
waim1255,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
cara1272,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,a,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tatu1247,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
bara1380,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
macu1260,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
guan1269,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
pira1254,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tuca1252,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,a,k,a,s,o,7,r,o
desa1247,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,r,-,-,-,-,-,-,-,a,b,a,h,-,-,-,3
siri1274,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,r,-,-,-,-,-,-,-,a,b,-,-,-,-,-,3
