language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
piap1246,-,-,-,-,-,-,-,-,-,-,-,w,-,-,a,-,-,-,-,-,-,p,-,-,u,-,-,-,-,-,-,-,a,-,k,-,-,a,-,-,-,-
acha1250,-,-,-,-,-,-,-,-,-,-,-,h,-,-,u,-,-,-,-,-,-,h,-,-,u,-,-,-,-,n,-,-,e,-,d,-,-,a,-,-,-,-
curr1243,-,-,-,-,-,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,p,-,-,i,-,-,-,-,-,-,-,a,-,k,-,-,a,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,-,-,-,p,-,-,u,w,e,-,-,-,-,p,e,n,i,-,-,-,-,-,-,-,a,-,n,-,-,a,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,-,-,-,p,i,k,u,k,a,-,-,-,-,-,-,n,i,-,-,-,-,-,-,-,-,-,p,-,-,e,-,-,-,-
yucu1253,-,-,-,-,a,-,-,-,-,-,-,p,-,h,o,7,-,-,-,-,-,-,-,-,o,-,-,-,-,k,-,-,a,-,h,-,-,e,-,-,-,-
cabi1241,-,h,a,k,a,-,-,-,-,-,-,p,-,-,u,-,-,-,-,-,-,p,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
cabi1241,-,k,-,-,a,-,-,-,-,-,-,p,-,-,u,-,-,-,-,-,-,p,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
resi1247,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wayu1243,-,-,-,-,a,-,-,-,-,-,-,h,-,-,u,-,-,-,-,-,-,7,-,-,u,-,-,-,-,l,-,-,a,-,-,-,-,a,-,-,-,-
