language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
piap1246,-,t,-,-,-,S,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
acha1250,-,t,-,-,-,S,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
acha1250,-,t,-,-,-,S,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,w,i,k,i,Z,i,-,-,-,-,-,-,-,-,-,-
curr1243,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
tari1256,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
tari1256,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
cabi1241,-,t,-,-,-,S,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
wayu1243,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,s,-,-,-,-,a,S,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
guah1255,-,-,-,-,-,n,e,-,w,-,3,-,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
guah1255,-,-,-,-,-,-,e,n,i,-,a,-,-,-,-,-,n,-,-,-,-,a,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
cuib1242,-,-,-,-,-,n,e,-,-,-,3,-,-,-,-,-,t,-,-,-,-,-,h,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
play1240,-,-,-,-,-,l,e,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
maca1259,-,-,-,-,-,l,i,-,-,-,o,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,3,-,-,-,-,-,a,r,-,-,-
sali1298,-,-,-,-,-,5,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
mini1256,-,-,h,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
nupo1240,-,-,h,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
muin1242,-,t,-,3,-,p,-,-,-,-,a,-,-,-,-,-,-,-,-,i,-,-,7,-,-,u,-,i,-,-,-,-,-,-,-,-,-,-
muin1242,-,-,-,-,-,x,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
bora1263,-,t,h,u,p,h,-,-,-,-,a,-,-,-,-,-,7,-,-,y,-,o,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
bora1263,-,t,h,u,p,h,-,-,-,-,a,-,-,-,-,-,-,-,-,i,-,o,h,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
tuyu1244,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
waim1255,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
waim1255,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
waim1255,-,-,-,-,-,h,u,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
cara1272,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,y,u,-,a,-,-,-,3
bara1380,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,s,u,-,-,-,-,-,3
macu1260,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
guan1269,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,r,o,s,o,7,a,r,i,r,o
pira1254,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,s,u,-,-,-,-,-,-
tuca1252,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,s,o,-,a,g,-,-,3
desa1247,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-
desa1247,e,7,-,o,-,T,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
siri1274,e,-,-,o,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-
tani1257,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,h,u,7,a,k,-,-,a
cube1242,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
sion1247,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
seco1241,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
orej1242,-,-,-,-,-,b,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
cacu1241,-,-,-,-,-,h,i,-,w,d,3,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
puin1248,-,-,-,-,-,y,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hupd1244,-,d,-,3,d,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,a,-,-,-,-,-,-,b,-,-,-
mala1522,-,-,-,-,-,d,-,-,-,-,u,-,m,-,a,-,g,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
arhu1242,-,-,-,-,-,g,w,-,-,-,i,-,-,-,a,d,Z,-,-,i,-,-,n,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
cogu1240,-,-,-,-,-,n,-,-,-,-,3,-,b,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cogu1240,-,-,-,-,-,n,-,-,-,-,3,-,b,z,3,-,S,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cent2150,-,k,-,o,-,t,-,-,-,-,o,k,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
chim1309,-,-,-,-,-,p,a,-,-,-,a,-,p,-,a,-,k,-,-,-,-,-,r,-,-,-,-,a,-,-,7,-,-,-,-,-,-,-
chac1249,-,-,-,-,-,l,-,-,-,-,y,-,-,-,u,-,g,-,u,e,-,-,l,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
colo1256,-,-,-,-,-,l,-,-,-,-,-,-,-,-,u,-,k,-,-,e,-,-,l,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
guam1248,-,-,-,-,-,l,-,-,-,-,i,-,-,-,u,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cams1241,-,-,-,-,-,l,-,-,-,-,e,-,-,-,o,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
paez1247,-,-,-,-,-,S,-,-,-,-,i,-,-,-,-,-,7,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
embe1260,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,h,y,w,i,-,-,n,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
epen1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,r,-,-,-,-,u,-,-,s,o,-,-,-,-,-,-
epen1239,-,-,-,-,-,-,-,-,-,-,3,-,p,-,-,-,h,-,-,i,-,-,d,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
embe1261,-,-,-,-,-,-,-,-,-,-,o,-,p,-,-,-,h,-,-,i,-,-,d,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
embe1262,-,-,-,-,-,-,-,-,-,-,o,-,p,-,-,-,h,-,-,i,-,-,d,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
woun1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,r,-,-,-,-,i,-,-,s,-,-,-,-,-,-,-
yukp1241,-,-,-,-,-,s,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
cari1279,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,i,k,u,t,-,-,-,S,i,-,-,-,-,-,-,-,-,-,-
