language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
piap1246,-,-,w,a,-,-,i,-,-,-,-,r,-,-,-,a,-,k,-,-,-,-,-,a,-,-,-
piap1246,-,-,w,a,-,-,i,-,-,-,-,r,-,-,-,a,-,k,-,-,-,-,-,a,-,-,-
acha1250,-,-,-,-,-,-,i,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
curr1243,-,-,p,a,-,-,i,-,-,-,-,r,-,-,-,a,-,k,-,-,-,-,-,a,-,-,-
tari1256,-,-,p,a,-,-,i,-,-,-,-,r,-,-,-,a,-,n,-,-,-,-,-,i,-,p,e
tari1256,-,-,n,-,-,u,i,-,-,-,-,r,-,-,-,a,-,n,-,-,-,-,-,a,-,-,-
tari1256,n,o,h,a,n,u,i,-,-,-,-,r,-,-,-,a,-,n,-,-,-,-,-,i,-,-,-
yucu1253,-,i,7,-,-,-,i,-,-,-,-,r,-,-,-,a,-,k,a,-,h,-,-,e,-,-,-
cabi1241,-,-,-,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
resi1247,-,-,-,-,-,-,i,-,-,7,-,d,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-
wayu1243,-,-,-,-,-,-,a,-,-,-,-,s,-,-,-,a,-,-,-,-,-,-,-,a,-,-,-
guah1255,-,-,-,-,-,-,a,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
cuib1242,-,-,-,-,-,-,a,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
play1240,-,-,-,-,-,-,a,-,-,-,-,p,-,-,-,a,-,n,-,-,-,-,-,e,-,-,-
maca1259,-,-,-,-,-,-,a,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guay1257,-,-,7,-,-,-,a,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sali1298,l,u,w,a,g,-,a,-,-,-,-,h,-,-,-,a,-,7,-,-,-,-,-,a,-,-,-
sali1298,-,o,-,-,g,u,a,-,-,-,-,h,-,-,-,a,-,7,-,-,-,-,-,a,-,-,-
mini1256,-,-,h,-,-,-,i,-,-,-,-,r,-,-,-,o,-,d,-,-,-,-,-,e,-,-,-
nupo1240,-,-,h,-,-,-,i,-,-,-,-,r,-,-,-,o,-,d,-,-,-,-,-,e,-,-,-
muru1274,-,-,h,-,-,-,i,-,-,-,-,r,-,-,-,o,-,d,-,-,-,-,-,e,-,-,-
ocai1244,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,o,-,x,-,-,-,-,-,o,-,-,-
muin1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,d,u,7,-,-,-,i,-,-,-
bora1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,t,u,k,h,-,-,u,-,-,-
bora1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,t,-,-,-,-,-,o,-,-,-
bora1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,t,u,k,h,u,n,u,-,-,-
bora1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,t,-,-,-,-,-,o,-,-,-
yuru1263,-,-,s,-,-,-,i,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
tuyu1244,-,-,s,-,-,-,i,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
waim1255,-,-,h,-,-,-,i,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
waim1255,-,-,h,-,-,-,i,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
cara1272,-,-,-,-,-,-,e,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
tatu1247,-,-,-,-,-,-,e,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
bara1380,-,-,-,-,-,-,i,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
macu1260,-,-,-,-,-,-,i,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
guan1269,-,-,s,-,-,-,i,-,-,7,-,d,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
pira1254,-,-,s,-,-,-,i,-,-,7,-,d,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
tuca1252,-,-,s,-,-,-,i,-,-,7,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
desa1247,-,-,-,-,-,-,i,-,-,7,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
siri1274,-,-,-,-,-,-,i,-,-,7,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
tani1257,-,-,-,-,-,-,u,-,-,k,u,r,-,-,-,-,-,-,-,-,-,-,-,i,-,k,a
cube1242,-,-,-,-,-,-,u,-,-,k,u,y,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
kore1283,-,-,-,-,-,-,u,-,-,k,-,h,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-
sion1247,-,-,-,-,-,-,u,-,-,k,u,h,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
seco1241,-,-,-,-,-,-,u,-,-,k,u,y,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-
orej1242,-,-,-,-,-,-,u,-,-,k,u,y,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
cacu1241,-,-,b,-,-,-,a,-,-,b,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nuka1242,-,-,h,-,-,-,a,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
puin1248,-,-,w,-,-,-,o,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hupd1244,-,-,-,-,-,-,3,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,3,-,y,-
mala1522,-,-,-,-,-,-,a,-,-,-,-,n,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-
arhu1242,-,-,-,-,-,-,a,-,-,-,-,7,-,g,-,-,-,-,-,-,-,-,-,3,-,n,-
cogu1240,-,-,-,-,-,-,-,-,-,-,-,t,u,S,-,-,-,-,-,-,-,-,-,i,-,-,-
cent2150,-,-,y,-,-,-,a,-,-,-,-,7,n,r,-,-,-,-,-,-,-,-,-,o,-,-,-
chim1309,-,-,-,-,-,-,u,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bari1297,-,-,7,-,-,-,a,-,-,-,-,y,-,g,s,a,y,n,-,-,-,-,-,3,-,-,-
chac1249,-,-,k,-,-,-,u,-,-,-,-,-,-,S,-,-,-,n,-,-,-,-,-,u,-,-,-
colo1256,-,-,k,-,-,-,u,-,-,-,-,t,-,s,-,-,-,-,-,-,-,-,-,i,-,-,-
awac1239,-,-,k,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,n,-
guam1248,-,-,m,-,-,-,u,-,-,-,-,t,-,S,-,-,-,-,-,-,-,-,-,i,-,p,-
inga1252,-,-,-,-,-,-,u,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,y,a,y,-
cams1241,-,-,x,-,-,-,a,-,-,-,-,t,m,-,-,-,-,-,-,-,-,-,-,u,a,n,a
cams1241,-,-,x,-,-,-,o,-,-,-,-,-,b,S,-,-,-,-,-,-,-,-,-,i,a,n,a
paez1247,-,-,t,-,-,-,u,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-
embe1260,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
nort2972,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
epen1239,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
epen1239,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
embe1261,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
embe1262,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
woun1238,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-
yukp1241,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,a,-,-,-
cari1279,-,-,n,-,-,-,e,y,a,n,-,d,-,-,-,a,-,n,-,-,-,-,-,u,-,-,-
