language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
piap1246,-,-,-,-,-,-,-,-,p,-,-,-,i,p,i,-,-,r,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
curr1243,-,-,-,-,-,-,-,-,p,-,-,-,i,p,i,-,-,r,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,p,-,-,-,i,p,i,-,-,r,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yucu1253,-,-,-,-,-,-,-,-,p,-,-,-,i,p,i,-,-,r,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
resi1247,-,-,-,-,-,-,-,-,p,o,n,a,a,m,a,-,-,d,-,-,-,Z,-,i,-,-,-,-,-,-,-,7,-,-,-,-,o,-
guah1255,-,-,-,-,-,-,-,-,-,-,-,-,-,m,i,-,-,s,-,-,-,-,-,i,-,-,-,-,b,o,-,t,-,-,-,-,o,-
guah1255,-,-,-,-,-,-,-,-,h,-,-,-,i,p,i,-,-,r,-,-,-,-,-,i,-,-,-,-,b,o,-,t,-,-,-,-,o,-
cuib1242,-,-,-,-,-,-,-,-,-,-,-,-,-,m,i,-,-,S,-,-,-,-,-,i,-,-,-,-,b,o,-,t,-,-,-,-,o,-
maca1259,-,-,-,-,-,-,-,-,-,-,-,-,-,k,u,-,-,-,-,-,-,-,-,e,r,-,-,-,b,o,-,t,-,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,i,-,-,-,-,b,u,x,t,-,-,-,-,o,t
sali1298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,e,-,-,-,-,-,-,-,n,-,-,-,-,-,-
mini1256,-,-,-,-,-,-,-,-,-,-,-,-,o,p,e,-,-,g,-,-,-,-,-,-,-,-,-,-,-,o,-,d,Z,-,-,-,u,-
nupo1240,-,-,-,-,-,-,-,-,-,-,-,-,-,n,e,-,-,g,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,u,-
muru1274,-,-,-,-,-,-,-,-,-,-,-,-,o,p,e,-,-,g,-,-,-,-,-,-,-,-,-,-,-,o,-,d,Z,-,-,-,u,-
ocai1244,-,-,-,-,-,-,-,-,h,-,-,-,a,m,i,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
muin1242,-,-,-,-,-,-,-,-,m,-,-,-,o,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-
bora1263,-,-,-,-,-,-,-,-,m,-,-,-,e,m,e,-,-,7,-,-,-,-,-,-,-,-,-,-,-,e,-,t,S,i,7,y,o,-
yuru1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,d,-,-,-,-,-,e,-,-,-,-,w,-,-,-,-,-,-,-,o,-
tuyu1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,d,-,-,-,-,-,e,-,-,-,-,w,-,-,-,-,-,-,-,o,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,d,-,-,-,-,-,e,-,-,-,-,y,-,-,-,-,-,-,-,o,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,d,-,-,-,-,-,e,-,-,-,-,y,-,-,-,-,-,-,-,o,-
cara1272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,d,-,-,-,-,-,e,-,-,-,-,y,-,-,-,-,-,-,-,o,-
tatu1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,d,-,-,-,-,-,e,-,-,-,-,y,-,-,-,-,-,-,-,o,-
bara1380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,d,-,-,-,-,-,e,-,-,-,-,y,-,-,-,-,-,-,-,o,-
macu1260,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,-,-,t,-,-,-,-,-,a,-,-,-,-,y,-,-,-,-,-,-,-,o,-
guan1269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,r,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,o,-
pira1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,r,-,-,-,-,-,e,-,-,-,-,y,-,-,-,-,-,-,-,o,-
tuca1252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,r,-,-,-,-,-,e,-,-,-,-,y,-,-,-,-,-,-,-,o,-
desa1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,r,-,-,-,-,-,i,-,-,-,-,y,-,-,-,-,-,-,-,u,-
siri1274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,r,-,-,-,-,-,3,-,-,-,-,y,-,-,-,-,-,-,-,u,-
tani1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,e,r,i,t,a,y,u,-,k,-,i,-,-,a,-
tani1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,a,-
cube1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,r,-,-,-,-,-,e,-,-,-,-,y,-,-,-,-,-,-,-,3,-
kore1283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,n,-,-,-,-,-,e,-,-,-,-,5,-,-,-,-,-,-,-,3,-
sion1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,n,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-
seco1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
orej1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,d,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cacu1241,-,-,-,-,-,-,-,-,b,-,-,-,-,-,3,-,-,d,-,-,-,-,-,a,-,-,-,-,7,-,-,-,-,-,-,-,-,-
nuka1242,-,-,-,-,-,-,-,-,h,-,-,-,-,-,u,-,-,5,-,-,-,-,-,u,-,-,-,-,n,-,-,-,-,-,-,-,i,-
puin1248,-,-,-,-,-,-,-,-,m,-,-,-,-,-,o,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hupd1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,S,-,3,-,-,-,-,w,-,-,-,-,-,-,-,-,-
cogu1240,-,-,-,-,-,-,-,-,n,-,-,-,-,-,u,-,-,l,-,-,-,d,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cent2150,-,-,-,-,-,-,-,-,b,-,-,-,-,-,3,b,-,r,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cent2150,-,-,-,-,-,-,-,-,b,-,-,-,-,-,3,b,i,r,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bari1297,-,-,-,-,t,-,-,-,S,-,-,-,i,k,a,-,a,n,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
chac1249,k,a,n,u,t,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
colo1256,b,i,n,-,t,-,-,-,s,-,-,-,-,-,a,-,-,l,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
awac1239,w,a,l,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
paez1247,-,-,-,-,t,-,-,-,S,-,-,-,-,-,u,-,-,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
embe1260,-,-,-,-,-,-,-,-,m,-,-,-,-,-,e,-,-,m,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nort2972,-,-,-,-,s,a,s,a,g,-,-,-,-,-,a,-,-,r,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
epen1239,-,-,-,-,-,-,-,-,m,-,-,-,-,-,e,-,-,m,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-
epen1239,-,-,-,-,-,-,-,-,m,-,-,-,-,-,e,-,-,m,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-
embe1261,-,-,-,-,-,-,-,-,m,-,-,-,-,-,e,-,-,m,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-
embe1262,-,-,-,-,-,-,-,-,m,-,-,-,-,-,e,-,-,m,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-
woun1238,-,-,-,-,t,-,-,-,S,-,-,-,-,-,o,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cari1279,-,-,-,-,-,-,-,-,h,-,-,-,-,-,u,-,-,r,u,w,a,i,m,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-
