language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
piap1246,-,-,-,-,k,-,-,-,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
acha1250,-,-,-,-,k,-,-,-,-,-,-,e,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
curr1243,-,-,-,-,k,-,-,-,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
tari1256,-,-,-,-,k,-,-,-,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
tari1256,-,-,-,-,k,-,-,-,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
yucu1253,-,-,-,-,k,-,-,-,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
cabi1241,-,-,-,-,k,-,-,h,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
resi1247,-,-,-,-,k,-,-,-,-,-,-,e,-,-,-,g,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
wayu1243,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,S,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
guah1255,-,-,-,-,h,u,a,m,-,-,-,e,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
cuib1242,-,-,-,-,h,o,-,m,o,k,o,i,t,S,a,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
play1240,-,-,-,-,h,u,a,m,-,-,-,e,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
maca1259,-,-,-,-,h,o,-,m,-,-,-,e,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guay1257,-,-,-,-,h,u,-,-,-,-,-,i,-,m,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sali1298,-,-,-,-,b,-,-,-,-,-,-,e,-,-,-,h,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
mini1256,-,-,-,-,p,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,u,-,-,-,-,-,i,-,-,-,-
nupo1240,-,-,-,-,p,-,-,-,-,-,-,u,-,-,-,b,-,-,-,-,u,-,-,-,-,-,i,-,-,-,-
muru1274,-,-,-,-,p,-,-,-,-,-,-,u,-,-,-,b,-,-,-,-,u,-,-,-,-,-,i,-,-,-,-
ocai1244,-,-,-,-,p,-,-,-,-,-,-,o,d,-,-,y,-,-,-,-,o,-,m,-,-,-,e,-,-,-,-
muin1242,-,-,-,-,n,-,-,-,-,-,-,3,-,7,3,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
muin1242,-,-,-,-,p,-,-,-,-,-,-,u,-,k,u,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
bora1263,-,-,-,-,n,-,-,-,-,-,-,u,-,7,-,p,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
bora1263,-,-,p,-,h,-,-,-,-,-,-,e,h,k,-,h,-,-,-,-,o,-,-,-,-,-,e,h,p,h,i
bora1263,-,-,-,-,n,-,-,-,-,-,-,u,-,7,-,p,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
yuru1263,-,-,-,-,y,-,-,-,-,-,-,a,-,-,-,b,-,-,i,b,a,-,k,-,-,-,3,-,-,-,-
