language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
piap1246,-,-,-,k,-,-,-,-,-,i,-,-,-,-,-,-,t,S,-,-,-,a,-,-,-,-,-,i,-,-
acha1250,t,-,-,S,-,-,-,-,-,i,-,-,-,-,-,-,t,S,-,-,-,a,-,-,-,-,-,i,-,-
acha1250,-,-,-,S,-,-,-,-,-,i,-,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-
curr1243,-,-,-,t,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,e,-,-
tari1256,-,-,-,S,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,a,w,-,-,-,-,a,-,-
tari1256,-,-,-,S,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,a,h,-,-,-,-,-,-,-
tari1256,-,-,-,s,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,a,u,-,-,-,-,a,-,-
yucu1253,-,-,-,k,-,-,-,-,-,e,-,-,-,-,-,-,r,-,-,-,-,a,7,a,t,a,n,i,-,-
cabi1241,-,-,-,k,-,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-
resi1247,o,-,-,k,o,-,n,-,-,i,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,i,-,-
wayu1243,-,-,-,s,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,i,-,-
wayu1243,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,i,-,-
wayu1243,-,-,-,s,-,-,-,-,-,i,-,-,-,-,-,-,t,S,u,w,-,a,l,-,-,-,-,a,-,-
wayu1243,-,-,-,s,-,-,-,-,-,i,-,-,-,-,-,a,t,S,u,w,-,a,l,-,-,-,-,a,-,-
wayu1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,a,s,i,-,-,m,a,-,-
wayu1243,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,t,S,u,w,-,a,l,-,-,-,-,a,-,-
wayu1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,a,a,s,i,-,-,m,a,-,-
guah1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,a,w,-,-,-,-,a,-,-
guah1255,-,-,-,-,-,-,-,-,-,i,-,-,-,s,-,o,t,-,-,-,-,-,-,-,-,-,-,o,-,-
cuib1242,-,-,-,-,-,-,-,-,-,i,-,-,-,s,h,o,t,-,-,-,-,-,-,-,-,-,-,o,-,-
cuib1242,-,-,-,-,-,-,-,-,-,i,-,-,-,S,-,o,t,-,-,-,-,-,-,-,-,-,-,o,-,-
play1240,-,-,-,-,-,-,-,-,-,i,-,-,-,s,-,o,t,-,-,-,-,-,-,-,-,-,-,o,-,-
maca1259,-,-,-,p,-,-,-,-,-,e,n,a,r,r,-,u,t,-,-,-,-,a,b,i,-,-,-,a,-,-
maca1259,-,-,-,p,-,-,-,-,-,e,n,a,r,r,-,u,-,-,-,-,-,-,b,i,-,-,-,a,-,-
guay1257,-,-,-,l,-,-,-,-,-,a,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-
guay1257,-,-,-,h,-,-,-,-,-,i,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-
sali1298,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,7,-,-,-,-,-,s,-,-,-,-,a,-,-
mini1256,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,i,-,-
nupo1240,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,i,k,u
muru1274,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,i,-,-
ocai1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,y,-,a,-,-,-,-,-,a,r,o
muin1242,k,-,u,s,-,-,-,-,-,i,-,-,-,-,-,-,b,-,-,-,-,a,-,-,-,-,-,i,-,-
muin1242,k,-,3,x,-,-,-,-,-,i,-,-,-,-,-,-,g,-,-,-,-,a,-,-,-,-,-,i,-,-
bora1263,k,h,u,x,-,-,-,-,-,u,k,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,-,-
bora1263,k,h,u,h,-,-,-,-,-,u,k,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,-,-
yuru1263,-,-,-,p,-,-,-,-,-,e,-,-,-,-,-,-,k,-,-,-,-,a,b,-,-,-,-,e,-,-
tuyu1244,-,-,-,p,-,-,-,-,-,e,-,-,-,-,-,-,k,-,-,-,-,a,b,-,-,-,-,e,-,-
