language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
curr1243,-,-,-,h,-,-,-,-,o,-,t,-,-,-,-,-,o,m,-,-,i,k,-,-,a,-,-,-,w,u
tari1256,-,-,-,k,-,-,-,-,a,-,m,-,-,-,-,-,u,m,-,-,u,-,-,-,a,-,-,-,n,i
yucu1253,-,-,-,p,-,-,-,-,a,-,t,-,-,-,S,-,a,-,-,-,-,7,-,-,a,x,-,-,l,u
resi1247,-,-,-,g,-,-,-,-,a,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,a,-,-,-,m,i
guah1255,-,-,-,p,-,-,-,-,e,-,r,-,-,-,-,-,a,-,-,-,-,b,-,-,o,-,-,-,-,-
cuib1242,-,-,-,p,-,-,-,h,o,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
play1240,-,-,-,-,-,-,-,-,i,-,r,-,-,-,-,-,a,-,-,-,-,h,o,n,o,-,-,-,-,-
maca1259,-,-,-,-,-,-,-,-,a,-,s,-,-,-,-,-,-,-,-,-,-,b,-,-,o,-,-,-,p,-
guay1257,-,-,-,s,-,-,-,-,a,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,7,k
sali1298,-,-,-,p,-,-,-,-,a,-,h,-,-,-,-,-,a,-,-,-,-,7,-,-,a,-,-,-,-,-
mini1256,-,-,-,k,-,-,-,-,u,-,n,-,-,-,-,-,e,-,-,-,-,b,-,-,u,-,-,-,-,-
nupo1240,-,-,-,k,-,-,-,-,u,-,n,-,-,-,-,-,e,-,-,-,-,r,-,-,e,-,-,-,-,-
muru1274,-,-,-,8,o,-,-,-,u,-,r,-,-,-,-,-,e,-,-,-,-,d,-,-,e,-,-,-,-,-
muru1274,-,-,-,k,-,-,-,-,u,-,n,-,-,-,-,-,e,-,-,-,-,r,-,-,e,-,-,-,-,-
ocai1244,-,-,-,x,-,-,-,-,o,-,n,u,-,-,b,-,a,-,-,-,-,g,-,-,a,-,-,-,-,-
ocai1244,-,-,-,5,-,-,-,-,i,-,h,i,-,-,b,-,a,-,-,-,-,g,-,-,a,-,-,-,-,-
ocai1244,-,-,-,b,o,-,-,7,i,-,7,i,7,t,y,-,o,-,-,-,-,n,-,-,o,-,-,-,-,-
muin1242,i,p,a,k,-,-,-,-,a,-,-,-,-,-,-,-,a,-,-,-,-,x,-,-,a,-,-,-,-,-
muin1242,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-,e,-,-,-,-,-
bora1263,-,-,-,k,-,-,-,h,a,a,x,-,-,-,-,-,a,-,-,-,-,n,e,p,a,-,-,-,-,-
