language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
piap1246,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,l,-,-,i,s,-,a,-,-
acha1250,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,l,-,-,i,s,-,a,-,-
curr1243,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,l,-,-,i,t,-,a,-,-
tari1256,-,-,-,-,-,m,-,a,k,-,-,-,-,-,-,a,d,a,-,u,-,-,a,-,-
tari1256,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,a,p,u,n,-,a,-,-
yucu1253,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,e,s,-,a,-,-
cabi1241,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,l,-,-,i,t,-,a,-,-
resi1247,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,u,n,-,-,e,-,-,u,-,-
wayu1243,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,m,u,n,-,a,-,-
wayu1243,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-
guah1255,-,-,-,-,-,p,-,u,k,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
cuib1242,-,-,-,-,-,p,-,u,k,-,-,-,-,-,-,u,-,-,-,-,-,-,a,-,-
play1240,-,-,-,-,-,p,-,u,k,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
maca1259,-,-,-,-,-,p,-,e,m,-,-,-,-,-,-,a,-,-,-,-,t,p,e,-,p
guay1257,-,-,-,-,-,p,-,u,k,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
sali1298,-,-,o,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
mini1256,-,-,-,-,-,h,-,o,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,i
nupo1240,-,-,-,-,-,h,-,o,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,i
muru1274,-,-,-,-,-,h,-,o,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,i
ocai1244,-,-,-,-,-,h,-,o,7,-,-,-,-,-,-,-,-,-,-,-,-,-,a,h,i
muin1242,-,-,-,-,-,x,-,3,k,-,-,-,-,-,-,o,b,-,-,-,-,-,a,-,-
muin1242,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,a,s,i
bora1263,-,-,-,-,-,-,-,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,u
bora1263,-,-,-,-,-,-,-,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,u
yuru1263,-,-,-,-,-,-,-,i,t,a,b,3,k,3,t,a,-,-,-,-,r,-,a,-,-
tuyu1244,-,-,-,-,-,-,-,o,-,-,p,a,-,-,t,a,-,-,-,-,r,-,o,-,-
waim1255,-,-,-,-,-,-,-,-,-,-,-,3,-,-,t,a,-,-,-,-,-,-,-,-,-
waim1255,-,-,-,-,-,-,-,o,-,-,p,a,-,-,t,a,-,-,-,-,r,-,o,-,-
cara1272,-,-,-,-,-,-,-,i,t,a,b,3,-,-,k,i,-,-,-,-,r,-,a,-,-
tatu1247,-,-,-,-,-,-,-,i,t,a,b,3,-,-,k,i,-,-,-,-,r,-,a,-,-
bara1380,-,-,-,-,-,-,-,3,t,a,b,3,-,-,k,3,-,-,-,-,r,-,a,-,-
macu1260,-,-,-,-,-,-,-,i,t,a,h,-,-,-,-,u,-,-,-,-,r,-,a,-,-
guan1269,-,-,-,-,-,b,-,3,k,3,p,-,-,-,-,a,r,-,-,i,r,-,o,-,-
pira1254,-,-,-,-,-,d,-,i,t,-,-,-,-,-,-,a,-,-,-,-,r,-,a,-,-
tuca1252,-,-,-,-,-,d,-,i,t,-,-,-,-,-,-,a,-,-,-,-,r,-,a,-,-
desa1247,-,-,-,-,-,d,-,i,t,-,-,-,-,-,-,a,-,-,-,-,r,-,u,-,-
siri1274,-,-,-,-,-,d,-,i,t,-,-,-,-,-,-,a,-,-,-,-,r,-,u,-,-
tani1257,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,7,w,a,-,-
cube1242,b,a,k,a,-,h,-,i,t,-,-,-,-,-,-,a,-,-,-,-,b,-,3,-,-
kore1283,-,-,d,-,-,Z,-,i,-,-,-,-,-,-,-,a,-,-,-,-,r,-,a,-,-
sion1247,-,-,-,-,-,z,-,i,t,-,-,-,-,-,-,a,-,-,-,-,d,-,a,-,-
seco1241,-,-,-,-,-,h,a,i,-,-,-,-,-,-,-,-,-,-,-,-,d,-,a,-,-
orej1242,-,-,t,-,-,S,-,i,t,-,-,-,-,-,-,a,-,-,-,-,d,-,a,-,-
cacu1241,-,-,7,i,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nuka1242,-,-,-,i,m,b,-,E,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
puin1248,-,-,-,-,-,w,-,3,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hupd1244,-,-,-,-,-,b,-,o,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mala1522,-,-,-,a,-,k,-,u,d,-,-,-,-,-,-,i,-,-,-,-,w,-,a,-,-
arhu1242,-,-,-,-,-,-,-,-,d,-,Z,-,-,-,-,i,-,-,-,-,w,-,i,-,-
cogu1240,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,-,-,-,-,w,-,a,-,-
cent2150,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i,7,-,-,-,w,-,a,-,-
bari1297,-,-,-,-,-,b,-,a,d,-,-,-,-,-,-,o,-,-,-,-,n,-,3,-,-
chac1249,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,u,-,-,-,-,s,-,u,-,-
colo1256,-,-,-,-,-,p,-,i,p,-,-,-,-,-,-,i,-,-,-,-,l,-,u,-,-
guam1248,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,i,-,-,-,-,s,-,u,-,-
inga1252,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,t,S,a,-,-
cams1241,-,-,w,a,-,b,-,-,x,a,x,-,-,-,-,o,-,-,-,-,n,-,a,y,e
paez1247,-,-,-,-,-,-,-,i,k,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-
nort2972,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,d,-,3,-,-
nort2972,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,m,-,-,e,n,-,e,-,-
