language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
piap1246,-,p,u,-,t,-,-,-,S,-,-,a,-,i,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
acha1250,-,-,-,-,t,-,-,-,S,-,-,a,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,i,-
acha1250,-,-,-,-,t,-,-,-,S,-,-,a,-,-,m,-,a,-,-,-,-,-,-,-,-,a,-,-,h,-,u,-
curr1243,-,-,-,-,-,-,-,-,y,-,-,a,-,-,m,-,a,-,-,d,-,-,-,-,-,a,-,-,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,5,-,-,a,-,-,m,-,a,n,-,d,-,-,-,-,-,a,-,-,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,i,-,-,a,-,-,m,-,e,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-
yucu1253,-,-,i,-,-,-,-,-,y,-,-,a,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
cabi1241,-,-,-,-,t,-,-,-,S,-,-,u,-,-,m,-,a,a,-,k,-,-,-,-,-,a,-,-,-,-,-,-
bani1254,-,-,-,-,d,-,-,-,z,-,-,a,-,-,m,-,a,-,-,d,-,-,-,-,-,a,-,-,-,-,-,-
resi1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,i,-,-,g,-,a,-,-,-,a,-,-,k,-,u,-
wayu1243,-,-,-,-,-,-,-,-,p,i,-,a,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
guah1255,-,-,a,-,n,-,-,i,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
guah1255,-,-,-,-,n,-,-,a,h,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
guah1255,-,-,a,-,n,i,h,a,h,-,-,a,-,-,-,-,-,-,-,w,-,-,-,-,-,a,h,e,h,-,e,-
cuib1242,-,-,a,i,n,-,-,-,y,-,-,a,-,-,-,-,-,-,-,w,-,-,-,-,-,a,-,-,b,-,e,-
play1240,-,-,-,-,n,-,-,a,h,-,-,u,-,-,-,-,a,-,-,w,-,-,-,-,-,a,b,e,h,-,e,-
