language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
piap1246,-,-,-,-,s,i,r,i,-,-,-,-,p,-,-,i,-,w,-,-,-,-,-,-,a,-,-,-
curr1243,n,o,m,a,w,-,-,i,-,-,-,-,p,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
yucu1253,-,-,-,-,w,-,-,a,-,-,-,-,p,-,-,a,-,7,a,-,n,-,-,-,a,-,-,-
resi1247,-,-,-,-,b,-,-,a,-,-,-,7,p,-,-,a,-,-,a,-,n,-,a,h,u,-,-,-
guah1255,-,-,-,-,s,i,r,i,-,-,-,-,p,-,-,i,-,b,-,-,-,-,-,-,o,-,-,-
cuib1242,-,-,-,-,s,i,r,u,-,-,-,-,p,-,-,u,-,b,o,-,t,-,-,-,o,-,-,-
maca1259,t,-,-,-,S,i,r,-,-,-,-,-,p,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,u,-,m,o,i,t,-,-,-,-,-,-,-
mini1256,-,-,-,-,-,-,-,o,-,-,-,-,b,-,-,i,d,Z,a,-,k,-,a,-,u,-,-,-
nupo1240,-,-,-,-,-,-,-,o,-,-,-,-,b,-,-,i,d,Z,a,-,k,-,a,-,u,-,-,-
muru1274,-,-,-,-,-,-,-,o,-,-,-,-,b,-,-,i,d,Z,a,-,k,-,a,-,u,-,-,-
ocai1244,-,-,-,-,p,-,-,a,-,-,-,-,h,-,-,i,7,x,a,-,t,y,a,-,-,-,-,-
muin1242,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,i,-,s,3,-,x,-,-,-,3,-,-,-
bora1263,-,-,-,-,t,-,-,-,-,-,-,-,h,-,-,o,t,S,i,-,h,-,-,-,u,-,-,-
bora1263,-,-,-,-,t,-,-,-,-,-,-,-,h,-,-,o,t,S,i,-,x,y,-,-,u,-,-,-
bora1263,-,-,-,-,t,-,-,S,i,x,t,S,h,-,-,u,-,-,-,-,x,-,-,-,u,-,-,-
yuru1263,-,-,-,-,b,-,-,u,-,-,-,-,p,-,-,u,-,-,-,-,-,-,-,-,a,-,-,-
tuyu1244,-,-,-,-,b,-,-,u,-,-,-,-,p,-,-,u,-,-,-,-,w,-,-,-,3,-,-,-
waim1255,-,-,-,-,b,-,-,u,-,-,-,-,p,-,-,u,-,-,-,-,-,-,-,-,a,-,-,-
