language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
piap1246,t,-,-,a,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-
acha1250,t,a,-,a,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-
curr1243,d,a,-,a,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-
tari1256,d,-,-,a,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-
tari1256,d,a,-,a,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-
yucu1253,k,u,w,a,-,-,-,-,-,h,-,-,-,-,-,a,r,-,-,-,i
resi1247,n,a,-,a,-,-,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-
guah1255,-,-,-,o,-,-,-,-,-,p,a,e,b,-,-,3,-,-,-,-,-
cuib1242,-,-,-,o,-,-,-,-,-,p,a,e,b,-,-,3,-,-,-,-,-
play1240,-,-,-,o,-,-,-,-,-,p,-,e,b,-,-,3,-,-,-,-,-
maca1259,-,-,-,o,-,-,-,-,-,p,-,e,p,-,-,-,-,-,-,-,-
guay1257,7,-,-,a,-,-,-,-,-,p,-,3,-,-,-,a,-,-,-,-,-
sali1298,-,-,-,-,-,-,-,-,-,p,-,u,m,-,-,e,-,-,-,-,-
mini1256,-,-,-,u,-,-,-,-,-,m,-,-,-,-,-,e,-,-,-,-,-
nupo1240,-,-,-,u,-,-,-,-,-,m,-,-,-,-,-,e,-,-,-,-,-
muru1274,-,-,-,u,-,-,-,-,-,m,-,-,-,-,-,e,-,-,-,-,-
ocai1244,-,-,-,a,-,-,-,-,-,x,-,a,-,-,-,a,-,-,-,5,o
muin1242,t,-,-,a,-,-,-,-,k,-,-,-,-,-,-,3,-,-,-,-,-
bora1263,t,-,h,a,-,-,-,h,k,h,-,-,-,-,-,u,-,-,-,-,-
bora1263,-,-,-,a,n,y,o,x,k,h,-,-,-,-,-,o,7,e,k,w,a
bora1263,t,-,h,a,-,-,-,x,k,h,-,-,-,-,-,u,-,-,-,-,-
yuru1263,s,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
tuyu1244,s,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
waim1255,h,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
waim1255,h,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
cara1272,h,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
tatu1247,h,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
bara1380,s,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
macu1260,s,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
guan1269,s,-,-,a,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-
pira1254,s,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
tuca1252,s,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
desa1247,s,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
siri1274,s,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
tani1257,h,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,a
cube1242,h,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,b,o
kore1283,s,-,-,e,-,-,-,-,-,m,-,-,-,-,-,e,-,-,-,-,-
sion1247,s,-,-,e,-,-,-,-,-,m,-,-,-,-,-,e,-,-,-,-,-
seco1241,k,-,-,o,-,-,-,-,-,p,-,-,-,-,-,e,-,-,-,-,-
seco1241,s,-,-,e,-,-,-,-,-,m,-,-,-,-,-,e,-,-,-,-,-
orej1242,s,-,-,e,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-
cacu1241,k,-,-,e,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-
nuka1242,k,-,-,E,-,-,-,-,-,b,-,-,-,-,-,m,-,-,-,-,-
hupd1244,h,u,y,a,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-
mala1522,-,-,-,u,-,-,-,s,-,k,-,-,-,-,-,i,-,-,-,-,-
arhu1242,p,-,-,a,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-
cogu1240,m,-,-,u,-,-,-,-,-,g,-,-,-,-,-,i,-,-,-,-,-
cogu1240,m,-,-,i,-,-,-,-,-,h,-,a,-,-,-,i,-,-,-,-,-
cent2150,b,-,-,a,-,-,-,-,-,7,t,a,r,-,-,a,-,-,-,-,-
bari1297,k,-,-,u,-,-,-,-,-,w,-,a,r,-,-,3,-,-,-,-,-
colo1256,-,-,-,-,-,-,-,-,-,w,-,a,l,-,-,e,-,-,-,-,-
guam1248,-,-,-,-,-,-,-,-,-,m,-,a,-,-,-,u,-,-,-,-,-
cams1241,m,-,-,3,-,-,-,-,-,m,-,a,S,-,-,e,-,-,-,-,-
paez1247,5,-,-,u,-,-,-,7,-,p,-,-,-,-,-,y,-,-,-,-,-
embe1260,b,e,r,o,-,-,-,-,-,g,-,o,r,-,-,a,-,-,-,-,-
nort2972,p,e,r,o,-,-,-,-,-,w,-,a,r,-,-,a,-,-,-,-,-
epen1239,p,e,r,o,-,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-
epen1239,p,e,r,o,-,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-
embe1261,b,e,r,o,-,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-
embe1262,b,e,r,o,-,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-
woun1238,e,e,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-
cari1279,k,-,-,u,-,-,-,-,-,-,-,-,r,i,m,a,-,-,-,-,o
