language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
piap1246,-,-,-,-,-,b,-,-,e,-,-,-,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,-
acha1250,-,-,-,-,-,s,-,-,a,-,-,-,-,l,-,-,i,-,Z,a,n,-,-,i,-,-,-,-
curr1243,-,-,-,-,-,p,-,-,e,k,-,i,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,-
tari1256,-,-,-,-,-,p,-,-,e,d,-,a,-,l,-,-,i,-,-,-,-,-,-,a,-,-,-,-
yucu1253,-,-,-,-,-,p,-,h,i,y,-,u,-,7,-,-,u,-,k,-,-,-,-,e,-,-,-,-
resi1247,-,-,-,-,-,p,-,h,a,-,-,i,-,g,-,-,-,-,-,-,-,-,-,i,-,-,-,-
wayu1243,-,-,-,-,-,l,-,-,a,-,-,3,-,l,-,-,a,-,-,-,-,-,-,a,-,-,-,-
guah1255,-,-,-,-,-,p,-,-,e,r,-,u,-,h,-,-,u,-,-,-,n,-,-,3,-,-,-,-
cuib1242,p,e,n,a,-,p,-,-,a,t,a,e,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-
cuib1242,-,-,-,a,-,m,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
cuib1242,-,-,-,-,-,p,-,-,e,r,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,-,-,-
play1240,-,-,-,-,-,p,-,-,e,n,-,a,-,k,-,-,o,-,t,e,n,-,-,3,-,-,-,-
play1240,-,-,-,-,-,p,-,-,e,r,-,u,-,h,-,-,u,-,-,-,n,-,-,3,-,-,-,-
maca1259,-,-,-,-,-,p,-,-,e,r,-,-,-,-,-,-,-,-,-,-,t,-,-,i,-,-,-,-
guay1257,-,-,-,-,-,p,-,-,a,t,-,i,-,7,-,-,i,-,-,-,n,-,-,-,-,-,-,-
sali1298,-,-,-,-,-,s,-,-,-,-,-,i,-,g,-,-,w,-,-,-,-,-,-,e,-,-,-,-
mini1256,-,-,-,-,-,-,-,-,e,-,-,i,-,k,-,-,o,-,-,-,m,-,-,e,-,-,-,-
mini1256,-,-,-,-,-,-,-,-,e,-,-,i,-,r,-,-,o,-,-,-,m,-,-,a,-,-,-,-
nupo1240,-,-,-,-,-,-,-,-,e,-,-,i,-,r,-,-,o,-,-,-,m,-,-,a,-,-,-,-
muru1274,-,-,-,-,-,u,-,-,a,-,-,u,-,k,-,-,u,-,-,-,m,-,-,a,-,-,-,-
muru1274,-,-,-,-,-,-,-,-,e,-,-,i,-,r,-,-,o,-,-,-,m,-,-,a,-,-,-,-
ocai1244,-,-,-,-,-,h,-,-,a,-,-,-,-,7,-,-,i,-,-,-,m,-,-,a,-,-,-,-
muin1242,-,-,-,-,-,-,-,-,-,k,-,i,d,Z,-,-,a,-,-,-,7,u,t,o,-,-,-,-
muin1242,-,-,-,-,-,-,-,-,a,m,-,i,-,y,-,-,a,-,-,-,t,-,-,o,-,-,-,-
muin1242,-,-,-,-,-,-,-,-,a,m,-,i,-,y,-,a,a,-,-,-,b,-,-,o,-,-,-,-
bora1263,-,-,-,-,-,-,-,-,-,k,-,-,-,h,-,-,e,-,-,-,m,-,-,e,-,-,-,-
bora1263,-,-,-,-,-,-,-,-,-,k,-,-,-,h,-,-,e,-,-,-,m,-,-,e,-,-,-,-
yuru1263,-,-,-,-,-,b,-,-,3,-,-,-,-,k,-,-,-,-,-,-,-,-,-,3,-,-,-,-
tuyu1244,-,-,-,-,-,b,-,-,3,-,-,-,-,k,-,-,-,-,-,-,-,-,-,3,-,-,-,-
waim1255,-,-,-,-,-,b,-,-,3,-,-,-,-,k,-,-,-,-,-,-,-,-,-,3,-,-,-,-
waim1255,-,-,-,-,-,b,-,-,3,-,-,-,-,k,-,-,-,-,-,-,-,-,-,3,-,-,-,-
cara1272,k,-,-,a,-,b,-,-,3,-,-,-,-,k,-,-,-,-,-,-,-,-,-,3,-,-,-,-
