language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
cube1242,-,-,y,-,-,-,-,a,-,-,-,k,-,-,-,-,o,-,-,-,r,-,-,-,-,-,-,-,3,-,-,-,-,-
kore1283,-,-,5,-,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,-,h,-,-,o,-,-,-,-,a,-,-,-,-,-
sion1247,-,-,y,-,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,g,a,-,-,-,-,-
seco1241,-,-,y,-,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-
orej1242,-,-,y,-,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
cacu1241,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-
nuka1242,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,E,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,t,-
puin1248,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-
hupd1244,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,3,-,-,-,w,-,-,-,-,-,-,-,3,-,-,-,g,-
mala1522,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-
arhu1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-,-,-,-,-,3,-,-,-,-,-
cogu1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
cent2150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-
chim1309,-,-,-,-,-,-,-,-,-,-,-,w,a,a,k,-,u,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,7,-
bari1297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,S,-,i,n,-,-,-,-,-,-,-,3,-,-,-,-,-
bari1297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,r,-,-,-,-,-,-,-,3,-,-,-,-,-
chac1249,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,p,-,-,u,-,-,-,k,a,-,-,-,-,-
colo1256,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,k,a,-,-,-,-,-
awac1239,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,s,-,-,u,-,-,-,-,-,-,-,-,-,-
toto1306,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,p,t,S,u,-,-,-,l,-,-,-,-,-,-
guam1248,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-
inga1252,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,a,-,-,-,w,-,-,-,-,-,-,-,i,-,-,-,-,-
cams1241,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-,-,m,-,-,i,n,-,-,y,e,-,-,-,-,-
cams1241,-,-,-,-,-,-,-,-,-,-,-,b,-,-,S,n,3,-,-,-,b,-,-,-,-,-,-,-,e,-,-,-,-,-
paez1247,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,a,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-
embe1260,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,-,b,-,-,-,-,-,-,-,3,-,-,-,-,-
nort2972,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
epen1239,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
epen1239,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
embe1261,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
embe1262,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
woun1238,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
yukp1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-,-
cari1279,-,-,-,-,-,-,-,i,-,-,-,h,a,-,-,n,a,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-
