language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
piap1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,e,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
acha1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,e,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
curr1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,w,-,e
tari1256,-,-,-,h,-,-,-,e,-,-,k,u,i,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
tari1256,-,-,-,p,-,-,-,a,-,-,-,-,-,-,d,-,-,-,-,e,-,n,-,-,-,-,-,-,-,a,n,i,p,-,T
yucu1253,-,-,-,w,-,-,-,e,-,-,7,-,e,-,t,-,-,-,S,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
resi1247,-,-,-,b,-,-,-,o,e,7,k,h,o,-,t,-,-,-,s,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wayu1243,-,-,-,-,-,-,-,a,-,-,-,-,-,-,t,a,7,i,h,i,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
guah1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,e,-,n,a,-,p,-,-,-,-,a,-,-,-,-,-
cuib1242,-,-,-,k,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,e,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-
play1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,e,-,n,a,-,p,-,-,-,-,a,-,-,-,-,-
maca1259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,e,-,m,-,-,p,-,-,-,-,a,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,n,a,e,p,-,-,-,-,-,-,-,-,-,-
sali1298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,e,7,n,-,-,-,-,-,-,-,a,-,i,7,d,e
mini1256,-,-,-,h,u,-,-,a,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,b,-,-,-,-,e,-,-,-,-,-
nupo1240,-,-,-,h,u,-,-,a,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,b,-,-,-,-,e,-,-,-,-,-
muru1274,-,-,-,h,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,u,-,r,a,-,b,-,-,-,-,e,-,-,-,-,-
ocai1244,m,o,7,s,o,d,y,a,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,b,-,-,o,h,o,-,-,-,-,-
muin1242,-,-,-,b,-,-,-,u,-,-,7,-,u,-,d,-,-,-,-,u,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-
bora1263,-,-,-,p,-,-,-,o,-,-,7,-,-,-,t,-,-,-,-,o,-,x,-,-,-,-,-,-,-,3,-,-,-,-,-
bora1263,-,-,-,p,-,-,-,o,-,-,7,-,-,-,t,-,-,-,-,o,-,k,-,-,w,-,-,-,-,a,-,-,-,-,-
bora1263,-,-,-,p,-,-,-,o,-,-,7,-,-,-,t,-,-,-,-,o,-,k,-,-,w,-,-,-,-,a,-,-,-,-,-
yuru1263,-,-,-,w,-,-,-,-,-,-,-,-,a,-,r,-,-,-,-,i,-,-,a,-,p,-,-,-,-,i,-,-,-,-,-
tuyu1244,-,-,-,w,-,-,-,a,-,-,-,-,a,-,r,-,-,-,-,i,-,-,-,-,p,-,-,-,-,i,-,-,-,-,-
waim1255,-,-,-,w,-,-,-,a,-,-,-,-,a,-,r,-,-,-,-,i,-,k,a,-,r,-,-,-,-,o,-,-,-,-,-
waim1255,-,-,-,w,-,-,-,a,-,-,-,-,a,-,r,-,-,-,-,i,-,k,a,-,p,-,-,-,-,i,-,-,-,-,-
waim1255,-,-,-,w,-,-,-,a,-,-,-,-,a,-,r,-,-,-,-,i,-,k,a,-,p,-,-,-,-,i,-,-,-,-,-
cara1272,-,-,-,w,-,-,-,a,-,-,-,-,a,-,r,-,-,-,-,i,-,k,a,-,p,-,-,a,-,i,-,-,-,-,-
tatu1247,-,-,-,w,-,-,-,a,i,-,y,-,o,-,r,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-
bara1380,-,-,-,w,-,-,-,e,-,-,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,t,o
macu1260,-,-,-,w,-,-,-,e,-,-,-,-,a,-,r,-,-,-,-,-,-,-,a,-,h,-,-,a,-,i,-,-,-,-,-
guan1269,-,-,-,w,-,-,-,e,-,-,h,-,e,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
pira1254,-,-,-,w,-,-,-,e,-,-,h,-,e,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
tuca1252,-,-,-,w,-,-,-,a,-,-,h,-,a,p,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
