language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
piap1246,-,-,-,-,-,w,-,-,-,a,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,-,a,-
piap1246,-,-,-,-,-,w,-,-,-,a,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,-,a,-
curr1243,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,a,-
tari1256,-,-,-,-,-,t,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,a,-
yucu1253,-,-,-,-,-,w,-,e,n,a,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,i,-
resi1247,-,-,-,-,-,p,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,o,-
wayu1243,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,u,-
wayu1243,-,-,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,l,a,a,y,-,-,a,-
guah1255,-,-,-,-,-,t,-,-,-,a,-,-,-,k,-,a,-,-,n,a,-,t,-,-,-,-,-,o,-
cuib1242,-,-,-,-,-,p,-,-,-,e,-,-,-,y,-,a,m,o,n,a,e,w,-,-,-,-,-,a,-
play1240,-,-,a,-,-,t,-,-,-,a,-,r,-,r,-,a,-,-,-,-,-,y,-,-,-,-,-,a,-
guay1257,-,-,-,-,-,t,-,-,-,a,-,-,-,k,3,a,-,-,n,-,-,w,-,-,-,-,-,a,t
sali1298,-,-,-,-,-,p,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,i,-
mini1256,-,d,-,-,-,Z,-,-,-,o,-,-,-,-,-,i,-,-,-,-,-,h,-,-,-,-,-,i,-
nupo1240,-,d,-,-,-,Z,-,-,-,o,-,-,-,-,-,i,-,-,-,-,-,h,-,-,-,-,-,i,-
muru1274,-,d,-,-,-,Z,-,-,-,o,-,-,-,-,-,i,-,-,-,-,-,h,-,-,-,-,-,i,-
ocai1244,-,-,-,-,-,b,-,-,-,o,7,t,a,-,-,a,-,-,-,-,-,7,-,-,t,-,-,i,-
ocai1244,-,-,-,-,-,-,-,-,-,u,-,r,o,x,-,a,-,-,-,-,-,-,-,-,t,-,-,u,-
muin1242,-,-,-,-,-,s,-,-,-,i,-,n,3,k,-,u,-,-,-,-,-,7,-,-,-,-,-,u,-
muin1242,-,-,-,-,-,p,-,-,-,u,-,-,-,k,-,u,-,-,-,-,-,7,-,-,-,-,-,u,-
bora1263,-,t,s,-,-,h,-,-,-,3,-,n,m,k,h,o,-,-,-,-,-,7,-,-,-,-,-,o,-
bora1263,-,t,s,-,-,h,-,-,-,3,-,n,u,k,h,o,-,-,-,-,-,7,-,-,-,-,-,a,-
bora1263,-,t,s,-,-,h,-,-,-,3,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-
bora1263,-,t,s,-,-,h,-,-,-,3,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-
yuru1263,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,p,-,i,g,-,-,3,-
tuyu1244,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,p,-,i,g,-,-,3,-
waim1255,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,p,-,i,g,-,-,3,-
waim1255,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,p,-,i,g,-,-,3,-
cara1272,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,p,-,i,-,-,-,-,-
tatu1247,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,p,-,i,-,-,-,-,-
bara1380,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,h,-,i,-,-,-,3,-
macu1260,-,-,-,-,-,y,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,r,-,i,g,-,-,3,-
guan1269,-,-,-,-,-,w,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,y,-,3,-,-,d,o,-
