language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
piap1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
acha1250,-,-,-,-,-,-,-,-,-,d,-,a,-,-,-,-,-,-,a,-,-,-,n,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-
curr1243,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,e,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,e,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,e,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,e,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
yucu1253,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,e,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
cabi1241,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,e,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
resi1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,n,o,g,i,-
wayu1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
wayu1243,-,-,-,-,-,-,-,-,-,w,-,a,-,-,-,-,-,7,a,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,i,n
guah1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,e,t,s,-,a,h,-,-,a,-,-,-,-,-
cuib1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,e,t,s,-,-,-,-,-,a,-,-,-,-,-
play1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,e,t,s,-,a,h,-,-,a,-,-,-,-,-
maca1259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,e,t,s,-,-,-,-,-,a,-,-,-,-,-
guay1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,e,-,s,-,-,-,-,-,a,-,-,-,-,-
