language,x1,x2,x3,x4,x5,x6
suri1265,T,-,h,i,3,m
cent1989,T,-,h,i,3,m
khmu1256,m,-,a,a,a,m
monn1253,T,-,h,-,i,m
temi1246,-,-,l,-,o,t
temi1246,-,-,l,-,o,t
sema1266,-,-,b,-,i,p
sema1266,-,-,b,-,i,p
jahh1242,n,3,h,-,i,m
minr1238,-,-,b,-,3,m
minr1238,-,-,5,-,a,p
bate1262,-,-,5,-,a,p
bate1262,-,-,5,-,a,p
bate1262,-,-,5,-,a,p
bate1262,-,-,5,-,a,p
bate1262,-,-,5,-,a,p
kens1248,m,-,h,-,3,m
kens1248,m,-,h,-,3,m
kint1239,m,-,h,-,3,m
tong1308,m,a,h,-,3,m
tong1308,m,-,h,-,3,m
tong1308,m,-,h,-,3,m
chew1245,m,-,h,-,3,m
sema1265,m,a,h,-,a,m
sema1265,m,a,h,-,a,m
seme1247,m,-,h,-,a,m
besi1244,m,a,h,-,a,m
