language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
khmu1256,-,-,-,-,-,s,-,-,-,7,o,N
cent1989,d,a,o,m,-,T,-,-,-,h,3,-
semn1250,-,-,-,-,-,5,-,-,-,h,u,7
semn1250,-,-,-,-,-,5,-,-,-,h,u,7
lano1248,-,-,-,-,-,y,-,-,-,h,u,7
temi1246,-,-,-,-,-,y,-,-,-,h,u,7
temi1246,-,-,-,-,-,y,3,-,-,h,u,7
sema1266,k,-,-,-,-,n,i,N,y,h,u,7
sema1266,-,-,-,-,-,l,a,-,-,l,3,w
jahh1242,-,-,-,-,-,n,o,-,-,h,o,7
jeha1242,-,-,-,-,-,y,-,-,-,h,u,7
jeha1242,-,-,-,-,-,y,-,-,-,h,u,7
kens1248,t,-,o,m,7,i,-,-,-,h,u,7
kens1248,7,-,-,-,-,i,-,-,-,h,u,7
kint1239,t,-,o,m,7,i,-,-,-,h,u,7
tong1308,-,-,-,-,-,5,a,-,-,h,u,7
tong1308,-,-,-,-,-,5,-,-,-,h,u,7
tong1308,-,-,-,-,-,y,-,-,-,h,u,7
chew1245,-,-,-,-,-,y,-,-,-,h,u,7
sema1265,-,-,-,-,-,d,-,-,-,l,o,N
sema1265,-,-,-,-,-,d,-,-,-,l,o,N
seme1247,-,-,-,-,-,d,-,-,-,l,o,N
besi1244,-,-,-,-,-,t,3,-,-,k,o,h
