language,x1,x2,x3,x4,x5,x6,x7
khmu1256,-,-,s,-,i,i,s
cent1989,-,-,d,-,-,e,T
semn1250,-,-,t,-,-,E,g
semn1250,-,-,t,-,-,E,k
lano1248,-,-,t,-,-,E,k
temi1246,-,-,s,-,l,o,k
temi1246,-,-,s,3,l,o,g
sema1266,b,E,t,-,-,-,-
sema1266,b,E,t,-,-,-,-
jahh1242,-,-,T,-,y,E,k
minr1238,-,-,t,-,-,i,k
minr1238,-,-,t,-,-,e,k
bate1262,-,-,t,-,-,i,k
bate1262,-,-,t,-,-,e,k
bate1262,-,-,t,-,-,e,k
bate1262,-,-,p,a,y,3,7
bate1262,-,-,t,-,-,e,k
jeha1242,p,-,7,-,y,3,7
jeha1242,-,-,t,-,-,e,k
kens1248,-,-,t,-,-,e,k
kens1248,-,-,t,-,-,E,k
kint1239,-,-,t,-,-,e,k
tong1308,-,-,t,-,i,e,k
tong1308,-,-,t,-,i,e,k
chew1245,-,-,7,-,-,o,m
sema1265,y,-,t,-,-,E,k
sema1265,y,-,t,-,-,E,k
seme1247,y,-,t,-,-,E,k
besi1244,g,3,t,-,-,e,k
