language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
suri1265,-,-,-,p,3,7,-,o,m,-,-
cent1989,-,-,-,p,3,7,o,o,m,-,-
khmu1256,-,-,-,h,u,-,u,u,r,-,-
monn1253,-,-,-,-,-,7,-,o,h,-,-
semn1250,-,-,-,s,a,n,-,u,7,-,-
semn1250,-,-,-,s,a,n,-,u,7,-,-
lano1248,-,-,-,s,-,7,s,o,7,-,-
temi1246,-,-,-,s,a,s,-,o,7,-,-
temi1246,-,-,-,s,-,-,-,o,7,-,-
sema1266,-,-,-,s,-,-,-,o,7,-,-
sema1266,-,-,-,s,-,-,-,o,7,-,-
jahh1242,-,-,-,s,-,-,-,i,7,i,t
minr1238,7,-,n,s,-,-,-,o,7,-,-
minr1238,b,-,a,b,-,-,-,u,h,-,-
bate1262,m,3,n,s,-,-,-,o,7,-,-
bate1262,-,-,-,h,-,-,-,a,7,a,t
bate1262,-,-,-,s,-,-,-,o,7,-,-
bate1262,-,-,-,s,-,-,-,o,7,-,-
bate1262,7,-,n,s,-,-,-,o,7,-,-
jeha1242,7,-,n,s,-,-,-,o,7,-,-
kens1248,-,-,-,s,-,-,-,o,7,-,-
kens1248,7,-,n,s,-,-,-,o,7,-,-
kint1239,7,-,n,s,-,-,-,o,7,-,-
tong1308,k,-,m,-,-,-,-,a,y,-,-
tong1308,g,-,-,-,-,-,-,3,s,-,-
chew1245,-,-,-,s,-,-,-,o,7,-,-
sema1265,-,-,-,s,-,-,-,3,7,E,t
sema1265,-,-,-,s,-,-,-,3,7,a,t
seme1247,-,-,-,s,-,-,-,-,7,i,t
besi1244,-,-,-,s,-,-,-,u,7,u,t
