language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
suri1265,-,-,-,-,-,p,-,-,h,-,-,l,o,m
cent1989,-,-,-,-,-,p,-,-,h,-,-,l,o,m
khmu1256,-,-,-,-,-,-,-,-,h,u,u,r,-,-
monn1253,-,-,-,-,-,p,-,-,-,-,a,k,-,-
semn1250,-,-,-,-,-,p,a,y,-,-,3,k,-,-
semn1250,t,-,-,a,-,p,-,-,-,-,3,t,-,-
lano1248,-,-,-,-,-,p,a,r,-,-,3,k,-,-
temi1246,t,-,-,-,-,h,-,-,-,-,o,r,-,-
temi1246,t,-,-,3,-,h,-,-,-,-,o,l,-,-
sema1266,t,-,-,-,-,h,-,-,-,-,o,l,-,-
jahh1242,-,-,-,-,-,p,-,-,-,-,u,t,-,-
minr1238,h,-,-,i,l,h,-,-,-,-,u,l,-,-
minr1238,h,p,h,i,-,p,-,-,-,-,-,-,-,-
bate1262,-,-,-,-,-,p,-,-,-,-,3,t,-,-
bate1262,-,-,-,-,-,p,-,-,-,-,3,t,-,-
bate1262,-,-,-,-,-,p,-,-,-,-,3,t,-,-
bate1262,-,-,-,-,-,p,-,r,h,-,u,r,-,-
bate1262,-,-,-,-,-,h,-,l,h,-,o,l,-,-
jeha1242,-,-,-,-,-,b,-,g,-,-,i,w,-,-
jeha1242,-,-,-,-,-,p,-,-,-,-,3,t,-,-
tong1308,-,-,-,-,-,p,-,-,-,-,3,t,-,-
chew1245,-,-,-,-,-,p,-,-,-,-,3,t,-,-
sema1265,-,-,-,-,-,h,-,-,-,-,o,l,-,-
seme1247,-,-,-,-,-,7,-,-,-,-,o,h,-,-
besi1244,k,-,-,a,-,7,-,-,-,-,o,h,-,-
