language,x1,x2,x3,x4,x5,x6,x7,x8
khmu1256,h,-,n,t,a,a,a,k
cent1989,-,-,n,d,-,-,a,t
semn1250,l,-,n,t,-,-,a,g
semn1250,l,-,n,t,-,-,a,k
lano1248,l,-,n,t,-,-,a,k
temi1246,l,-,n,t,-,-,a,k
temi1246,l,E,n,t,-,-,a,g
sema1266,l,-,n,t,-,-,a,k
sema1266,l,-,n,t,-,-,a,k
jahh1242,l,-,n,t,-,-,a,k
minr1238,l,-,n,t,-,-,i,k
minr1238,l,-,n,t,-,-,i,k
bate1262,l,3,n,t,-,-,i,k
bate1262,l,3,n,t,-,-,i,k
bate1262,l,-,n,t,-,-,i,k
bate1262,l,-,n,t,-,-,i,k
bate1262,l,-,n,t,-,-,i,k
jeha1242,l,-,n,t,-,-,e,k
jeha1242,l,-,n,t,-,-,e,k
kens1248,l,-,-,t,-,-,i,k
kens1248,l,-,n,t,-,-,i,k
kint1239,l,-,-,t,-,-,i,k
tong1308,l,-,a,t,-,-,i,k
tong1308,l,-,-,t,-,-,i,k
chew1245,l,-,a,t,-,-,e,k
sema1265,l,-,-,p,-,-,E,s
sema1265,l,-,-,p,-,-,E,s
seme1247,l,-,-,p,-,-,E,s
