language,x1,x2,x3,x4,x5,x6,x7,x8
khmu1256,-,-,p,-,r,i,i,-
cent1989,-,-,p,-,r,-,e,y
semn1250,-,-,b,-,y,-,i,7
semn1250,-,-,b,-,y,-,i,7
lano1248,-,-,h,-,-,-,3,p
temi1246,-,-,s,-,r,-,o,k
temi1246,-,-,s,3,r,-,o,k
sema1266,-,-,s,-,r,-,a,k
sema1266,-,-,s,-,r,-,a,k
jahh1242,-,-,b,-,r,-,e,7
minr1238,-,-,h,-,-,-,3,p
minr1238,-,-,h,-,-,-,3,p
bate1262,-,-,h,-,-,-,3,p
bate1262,-,-,h,-,-,-,3,p
bate1262,-,-,h,-,-,-,3,p
bate1262,-,-,h,-,-,-,3,p
bate1262,-,-,h,-,-,-,3,p
jeha1242,-,-,h,-,-,-,3,p
jeha1242,-,-,h,-,-,-,3,p
kens1248,k,a,h,-,-,-,3,p
kens1248,k,a,h,-,-,-,3,p
kint1239,k,a,h,-,-,-,3,p
tong1308,k,a,h,-,-,-,3,p
chew1245,-,-,b,-,r,t,E,7
sema1265,-,-,b,-,r,-,i,h
sema1265,-,-,b,-,r,-,i,-
seme1247,-,-,b,-,r,-,i,-
besi1244,-,-,m,3,r,-,i,-
