language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
khmu1256,-,-,-,-,-,h,n,t,a,-,-,a,-,-
cent1989,-,-,-,-,-,s,3,d,a,-,-,3,-,N
semn1250,k,-,b,-,-,-,-,-,-,-,-,e,-,d
semn1250,k,-,b,-,-,-,-,-,-,-,-,e,-,t
temi1246,-,-,p,-,-,h,-,-,-,-,-,e,-,N
temi1246,-,-,p,3,-,h,-,-,-,-,-,e,-,5
sema1266,-,-,N,-,-,s,-,-,-,-,-,E,-,y
sema1266,-,-,N,-,-,s,-,-,-,-,-,E,-,y
minr1238,-,-,-,-,-,r,-,-,a,N,k,3,-,5
bate1262,-,-,-,-,-,y,-,-,a,N,k,E,-,T
bate1262,-,-,-,-,-,h,-,-,3,-,t,E,-,l
bate1262,-,-,-,-,-,y,-,r,a,N,k,E,-,T
kens1248,k,-,m,u,-,y,-,-,o,7,-,-,-,-
kens1248,k,-,m,u,7,y,-,-,o,7,-,-,-,-
kint1239,k,-,m,u,-,y,-,-,o,7,-,-,-,-
tong1308,-,-,-,-,-,l,-,-,a,-,k,i,e,n
tong1308,-,-,-,-,-,y,-,-,-,-,X,i,-,s
tong1308,-,-,-,-,-,y,-,-,-,-,X,i,-,s
chew1245,-,-,-,-,-,s,-,t,a,l,-,-,-,-
sema1265,7,i,5,-,-,s,-,-,-,-,-,E,-,y
seme1247,-,-,-,-,-,s,-,-,-,-,-,e,-,y
besi1244,-,-,-,-,-,s,-,-,-,-,-,e,-,y
