language,x1,x2,x3,x4,x5
suri1265,d,-,a,y,-
cent1989,d,-,a,y,-
khmu1256,t,-,i,i,-
monn1253,t,o,a,-,-
semn1250,t,-,i,N,-
semn1250,t,-,i,N,-
lano1248,t,-,i,N,-
temi1246,t,-,i,k,-
temi1246,t,-,i,k,-
sema1266,t,-,3,k,-
sema1266,t,-,3,k,-
jahh1242,t,-,i,N,-
minr1238,T,y,a,s,-
minr1238,T,-,a,s,-
bate1262,T,-,a,s,-
bate1262,T,-,a,s,-
bate1262,T,-,a,s,-
bate1262,T,-,a,s,-
bate1262,T,-,a,s,-
jeha1242,T,y,a,s,-
jeha1242,T,y,a,s,-
kens1248,T,-,a,s,-
kens1248,T,-,a,s,-
kint1239,T,-,a,s,-
tong1308,T,-,a,s,-
tong1308,T,-,a,s,-
tong1308,T,-,a,s,-
chew1245,T,-,o,s,-
sema1265,t,-,-,h,i
sema1265,t,-,-,h,i
seme1247,t,-,-,h,i
