language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
tupa1250,-,-,-,-,-,-,-,k,o,y,-,o,p,3,7,-,-,3,t,-,-,-,-
wayo1238,-,-,-,-,-,-,-,k,i,5,-,o,-,-,-,-,-,-,-,-,-,-,-
saki1248,-,-,-,-,-,-,-,t,-,-,-,o,p,i,s,i,r,i,k,-,-,-,-
maku1278,-,-,-,-,-,-,-,k,3,-,-,-,-,-,d,-,Z,i,-,-,-,-,-
kuru1309,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,i,-,i,L,a,L,a,-
mund1330,-,-,-,-,-,-,-,k,a,7,-,o,-,o,r,i,r,i,t,-,-,-,-
para1311,-,-,-,-,-,3,-,-,-,v,-,3,-,-,k,u,7,i,-,-,-,-,-
urub1250,-,-,-,-,-,3,-,-,-,w,-,3,-,-,k,u,7,i,-,-,-,-,-
pari1258,-,-,-,-,-,3,-,-,-,7,-,3,-,-,-,-,t,i,N,-,-,-,-
awet1244,-,-,-,-,-,3,-,t,a,7,-,a,-,-,-,-,t,i,N,-,-,-,-
sate1243,-,-,-,-,-,3,-,-,i,k,-,3,-,-,-,-,t,-,-,-,-,-,-
karo1305,-,-,-,-,-,-,-,T,a,-,-,-,-,-,-,-,r,o,k,a,y,a,-
puru1264,-,-,-,-,-,3,y,S,a,b,-,a,-,-,-,-,r,a,k,a,p,-,-
gavi1246,-,-,-,-,-,i,-,T,a,-,-,a,-,-,-,-,-,-,g,a,-,a,p
zoro1244,-,-,-,-,-,i,-,T,a,-,-,a,-,-,-,-,-,-,g,a,-,a,p
arua1261,-,-,-,-,-,-,-,s,a,k,i,i,-,-,-,-,t,-,k,a,-,a,p
sala1273,-,-,-,-,-,i,-,s,a,-,-,a,-,-,-,-,-,-,g,a,-,a,p
suru1262,N,o,o,y,N,i,-,-,i,-,-,i,-,-,-,-,-,-,r,-,-,-,-
kari1311,-,-,-,-,-,-,-,-,-,7,-,e,-,-,-,-,-,y,-,-,-,-,-
juru1256,-,-,-,-,-,e,-,t,a,-,-,-,-,-,-,-,-,-,-,-,-,a,-
xipa1240,-,-,-,-,-,-,-,t,a,y,-,a,-,-,-,-,-,-,y,-,-,a,-
