language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
tupa1250,-,-,-,-,-,-,y,-,-,-,3,-
wayo1238,-,3,-,-,-,-,g,-,-,-,3,-
akun1241,-,3,-,-,-,-,k,-,-,-,3,-
saki1248,-,3,-,-,-,-,k,-,-,-,3,-
maku1278,-,-,-,-,-,-,7,-,-,-,3,-
mund1330,-,i,d,i,-,-,b,-,-,i,i,-
para1311,-,-,-,-,-,-,-,-,-,-,3,-
urub1250,-,-,-,-,-,-,-,-,-,-,3,-
tapi1254,-,-,-,-,-,-,h,-,-,-,3,-
awet1244,-,-,-,-,-,-,7,-,-,-,3,-
karo1305,-,i,-,-,-,-,T,-,-,-,3,-
puru1264,S,e,-,-,-,-,r,-,-,-,e,-
arua1261,-,i,-,-,-,-,-,-,-,-,-,-
gavi1246,-,i,-,i,i,-,p,a,a,a,a,p
suru1262,-,i,-,i,i,t,S,-,-,-,e,r
kari1311,-,e,-,-,-,-,s,-,-,-,e,-
juru1256,-,i,-,-,-,-,y,-,-,a,a,-
