language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
tupa1250,-,-,-,t,-,-,o,t,-,e,t
wayo1238,n,-,-,d,-,-,o,-,-,o,-
saki1248,-,-,-,s,-,-,o,-,-,-,-
maku1278,n,-,-,d,-,-,o,-,-,a,7
mund1330,-,-,-,t,S,-,o,7,a,a,-
para1311,3,v,3,t,-,-,-,-,-,3,-
tapi1254,3,w,3,t,-,-,-,-,-,3,t
awet1244,3,w,3,7,-,-,-,-,-,a,m
sate1243,3,-,i,t,-,-,3,7,-,o,k
karo1305,-,-,-,n,-,-,o,p,-,3,7
arua1261,-,-,-,d,-,-,o,-,-,-,-
arua1261,-,-,-,d,o,-,o,-,-,-,-
gavi1246,-,-,-,t,-,-,o,-,-,-,-
gavi1246,-,-,-,d,-,-,o,-,-,-,-
suru1262,-,-,-,n,-,-,o,-,-,-,-
kari1311,n,-,e,s,-,-,o,-,-,-,-
juru1256,-,-,-,t,S,u,u,-,a,a,-
