language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
tupa1250,-,-,s,-,-,-,i,-,7,-,-,-,a,-,-,-,-
wayo1238,-,-,k,-,-,w,e,-,r,-,-,-,e,-,-,p,-
saki1248,-,-,s,-,-,-,a,-,7,-,-,-,3,-,-,p,-
maku1278,-,-,5,-,-,-,e,-,r,-,-,-,e,-,-,m,-
kuru1309,-,-,-,-,-,-,-,-,r,-,-,-,e,-,-,m,-
mund1330,-,-,-,-,-,-,-,-,r,-,-,-,e,-,-,m,-
para1311,-,-,h,o,-,v,3,-,-,-,-,-,-,-,-,-,-
urub1250,-,-,h,o,-,w,3,-,t,-,-,-,e,-,-,-,-
pari1258,-,-,y,u,-,k,3,-,r,-,-,-,3,-,-,-,-
tapi1254,k,a,h,a,-,k,3,-,r,-,-,-,a,m,a,h,e
awet1244,-,-,k,-,-,-,3,-,t,-,-,-,-,-,-,-,-
sate1243,-,i,h,-,-,-,3,-,r,-,-,-,3,-,-,p,-
karo1305,-,-,k,-,-,-,3,-,r,3,k,t,e,-,-,m,-
puru1264,-,-,h,-,-,-,e,-,r,o,-,-,a,-,-,-,-
gavi1246,-,-,T,i,-,-,i,-,r,o,o,o,o,-,-,y,-
zoro1244,-,-,k,i,-,-,i,-,r,-,-,-,-,-,-,i,-
arua1261,-,-,T,-,-,-,i,-,r,o,-,-,-,-,-,y,-
sala1273,-,-,k,i,-,-,i,i,t,-,-,-,-,-,-,-,-
suru1262,-,-,k,i,-,-,i,-,r,-,-,-,-,-,-,-,-
kari1311,-,-,k,e,t,p,i,-,t,-,-,-,a,-,-,t,-
juru1256,-,a,k,-,-,-,e,e,L,u,-,-,u,-,-,-,-
xipa1240,-,a,k,-,-,-,3,-,-,-,-,-,u,-,-,-,-
