language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
tupa1250,k,a,-,r,-,-,a,-,t,-,o,-,-
wayo1238,p,-,-,-,-,-,i,-,t,-,e,-,-
saki1248,-,o,-,b,-,-,a,-,t,-,-,-,-
maku1278,k,a,-,l,-,-,e,-,y,-,o,-,-
mund1330,-,a,-,-,-,-,a,-,d,e,e,-,-
para1311,h,e,-,t,-,-,-,-,-,-,a,-,-
urub1250,h,e,-,t,-,-,-,-,-,-,a,-,-
tapi1254,h,3,-,N,-,-,-,-,-,-,a,-,-
awet1244,7,3,-,t,-,-,o,-,t,-,o,-,-
sate1243,k,a,-,h,-,-,a,-,t,-,o,-,-
karo1305,p,a,7,p,-,-,i,k,t,-,e,-,m
arua1261,k,a,-,k,-,-,o,-,-,o,o,-,-
gavi1246,g,o,-,-,-,-,o,-,l,o,o,a,a
suru1262,S,a,-,-,-,-,a,-,m,e,o,-,-
kari1311,p,i,-,t,-,-,a,-,t,-,-,-,-
juru1256,-,i,-,t,S,i,i,-,b,-,3,-,-
