language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
kuii1254,-,-,t,e,-,m,-,-,i,n,-,-,-
kelo1247,-,-,g,3,-,m,-,o,i,n,-,-,-
abui1241,-,-,t,a,-,m,-,-,i,n,f,a,-
adan1251,-,-,-,a,i,m,b,u,i,-,-,-,-
teiw1235,g,3,f,i,-,m,b,u,i,-,-,-,-
kaer1234,-,-,t,i,-,m,-,-,i,m,-,-,-
nede1245,g,a,f,i,-,n,-,-,i,-,-,-,-
alor1249,-,-,-,-,-,m,-,-,i,m,-,-,-
blag1240,-,-,t,3,-,m,-,-,i,N,b,u,r
lamm1241,-,-,n,a,-,m,m,-,a,-,-,-,-
wers1238,-,-,n,e,-,m,-,u,i,N,-,-,-
sawi1256,-,-,g,a,-,m,-,-,i,N,-,i,-
kama1365,-,-,l,-,-,p,-,-,a,N,-,-,-
