language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
kuii1254,-,u,-,-,-,s,-,-,-,a
kelo1247,-,u,-,-,-,t,-,-,-,-
abui1241,b,u,-,-,-,t,-,-,-,i
adan1251,w,u,-,-,-,t,-,-,-,-
teiw1235,u,u,-,-,-,t,-,-,-,-
kaer1234,-,u,-,-,-,t,-,-,-,-
nede1245,-,u,-,-,-,t,-,-,-,u
blag1240,b,u,-,-,-,t,-,-,-,a
lamm1241,-,a,-,-,-,t,-,-,-,u
wers1238,-,a,r,-,a,s,o,-,k,u
sawi1256,-,a,r,a,a,s,i,i,k,u
kama1365,b,i,-,-,a,t,-,-,-,-
