language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
adan1251,7,a,m,-,-,a,t,-,-,-,a,N
kelo1247,-,e,p,-,-,-,-,-,-,-,-,-
abui1241,-,-,-,-,-,a,d,-,-,Z,a,k
teiw1235,-,-,p,-,-,-,r,u,-,-,u,-
kaer1234,-,-,p,-,-,3,r,-,-,-,u,-
nede1245,-,-,m,-,-,3,l,a,t,S,i,-
blag1240,-,-,p,e,m,e,k,-,-,-,-,-
lamm1241,-,-,-,-,-,-,d,-,-,-,i,N
wers1238,-,-,-,-,-,a,r,e,-,s,i,-
kama1365,-,-,-,-,-,a,l,e,-,h,-,-
