language,x1,x2,x3,x4,x5,x6
kuii1254,-,e,-,s,-,-
kelo1247,-,3,-,h,i,-
abui1241,-,a,-,s,i,-
adan1251,h,a,-,h,a,7
teiw1235,X,a,-,s,-,-
alor1249,h,a,-,s,-,-
blag1240,-,a,a,s,-,-
lamm1241,h,a,-,s,-,-
wers1238,-,a,-,t,u,-
sawi1256,-,o,-,t,u,-
kama1365,-,a,-,s,i,-
