language,x1,x2,x3,x4,x5,x6,x7
kuii1254,b,-,u,-,a,-,i
kelo1247,b,-,3,g,o,-,i
abui1241,f,-,a,h,a,-,i
adan1251,b,-,a,7,a,-,i
teiw1235,b,-,a,X,a,-,i
kaer1234,b,-,a,g,a,-,y
nede1245,-,-,-,l,i,s,i
alor1249,b,-,a,g,a,-,i
blag1240,b,-,a,p,a,-,-
lamm1241,b,-,a,g,a,-,i
wers1238,w,-,a,w,a,-,-
sawi1256,w,a,a,w,a,-,-
kama1365,p,i,e,-,e,-,-
