language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
kuii1254,-,-,-,-,-,k,-,-,l,-,-,-,-,a,r,-,-
kelo1247,-,-,-,-,-,k,u,-,l,-,-,-,-,-,-,-,-
abui1241,-,-,-,-,-,b,a,7,l,-,-,-,-,a,k,i,N
adan1251,-,-,-,-,-,w,a,-,r,a,w,a,r,a,-,-,-
teiw1235,-,-,-,-,-,q,a,-,-,-,-,-,-,a,w,-,-
kaer1234,-,-,-,-,-,q,a,-,-,-,-,-,-,a,w,-,-
nede1245,-,-,-,-,-,b,u,-,-,-,-,-,-,y,-,-,-
blag1240,-,-,-,-,-,-,u,-,-,-,-,-,-,l,-,-,-
lamm1241,-,-,-,-,-,-,a,-,l,-,u,-,-,a,-,-,-
wers1238,t,a,m,a,7,k,u,-,l,-,-,-,-,a,7,-,-
kama1365,-,-,-,-,-,k,u,-,-,-,-,-,-,a,a,-,-
