language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
adan1251,-,a,-,h,o,w,-,-,-,-,-,-,-,-,o,-,-,-,-,t,-,-,-,-,u,h,-,u,-,-
kelo1247,-,-,-,-,-,g,-,-,-,-,-,-,-,-,3,-,-,-,-,t,-,-,-,-,E,N,-,-,-,-
abui1241,n,a,n,h,a,r,-,-,-,-,-,-,-,-,u,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-
teiw1235,-,-,-,-,-,g,-,-,-,-,-,-,-,-,o,-,-,-,-,s,o,y,i,l,a,n,t,u,-,p
kaer1234,-,-,-,-,-,g,-,-,-,-,-,-,-,-,e,-,-,-,-,t,-,-,-,-,e,n,-,o,-,-
nede1245,-,-,-,-,-,g,-,-,-,-,-,-,-,-,3,-,-,-,-,t,-,-,-,-,a,n,-,i,-,-
blag1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,i,N,m,i,a,r
lamm1241,-,-,-,-,-,g,-,-,-,-,-,-,-,-,a,-,-,-,-,t,i,-,p,p,i,N,-,-,-,-
wers1238,-,-,-,-,-,g,-,-,-,-,-,-,-,-,e,-,-,-,-,t,e,-,-,-,i,N,-,-,-,-
sawi1256,-,-,-,-,-,g,a,p,i,g,a,s,i,r,e,g,a,m,i,t,-,-,-,-,i,-,-,-,-,-
kama1365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,a,n,-,-,-,-
