language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
adan1251,-,-,-,-,d,-,-,-,a,-,7,-,a,l,-,a,-,-,-,-,-
kelo1247,-,-,-,-,d,-,-,-,o,-,t,-,-,-,-,-,-,-,-,-,-
abui1241,-,-,n,e,r,-,-,-,a,-,k,b,e,k,-,a,-,-,-,-,-
teiw1235,-,-,g,-,r,-,a,-,a,-,t,-,-,q,-,a,-,-,-,i,-
kaer1234,n,a,g,a,r,-,a,-,a,-,t,-,-,X,-,a,-,-,-,i,-
nede1245,-,-,g,-,-,-,-,-,3,-,t,-,-,-,-,a,-,-,-,y,a
blag1240,t,o,-,a,l,t,i,d,a,-,t,-,-,-,-,-,-,-,-,-,-
lamm1241,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,m,m,-,i,s
wers1238,-,-,-,-,g,-,-,-,e,-,s,-,i,r,g,e,-,m,a,i,-
sawi1256,-,-,-,-,g,-,-,-,a,-,t,-,a,-,-,a,-,m,-,u,-
kama1365,-,-,-,-,d,-,-,-,u,m,t,-,-,-,-,a,-,-,-,m,-
