language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
kuii1254,k,a,b,-,-,o,l,m,a,n,a,k,-,-
kelo1247,-,-,b,-,-,o,-,-,-,N,-,h,E,p
abui1241,-,a,b,-,-,e,-,-,-,-,-,t,i,-
adan1251,-,a,w,-,-,o,-,-,-,l,o,l,o,-
teiw1235,-,-,b,o,-,o,-,-,-,g,-,-,-,-
kaer1234,-,-,k,u,n,a,-,-,-,N,-,-,-,-
nede1245,-,-,b,-,-,o,-,-,-,g,-,g,a,-
blag1240,-,-,k,u,-,a,-,-,-,r,-,-,-,-
lamm1241,-,-,b,-,-,o,-,-,-,g,-,g,a,-
wers1238,s,e,p,-,-,-,-,-,e,r,-,-,-,-
sawi1256,-,-,p,-,-,u,l,-,a,r,-,-,a,-
kama1365,-,-,f,-,-,o,-,-,-,n,-,-,-,-
