language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
kuii1254,b,-,-,a,-,-,k,a,n,-,-,-,-
kelo1247,-,-,-,u,-,-,l,o,m,-,-,-,-
abui1241,n,-,-,a,-,-,n,a,-,-,-,-,-
adan1251,n,-,-,o,7,u,d,i,N,7,o,b,o
teiw1235,-,-,-,-,-,-,g,3,m,-,u,t,u
kaer1234,n,-,-,e,-,-,k,a,w,-,-,-,-
nede1245,n,-,-,e,-,-,n,a,N,-,-,-,-
alor1249,n,-,-,-,-,-,-,a,n,-,-,-,-
blag1240,n,-,-,e,t,a,t,a,-,-,-,-,-
lamm1241,n,-,-,i,k,-,k,a,r,-,-,-,-
wers1238,n,-,-,e,-,-,n,a,N,-,-,-,-
sawi1256,n,a,-,a,-,-,n,a,-,-,-,-,-
kama1365,-,i,d,a,-,-,m,a,-,-,-,-,-
