language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
kuii1254,-,-,-,a,-,i,l,-,-,-,-,-,a,-,k,-
kelo1247,k,-,-,E,s,3,l,-,-,-,-,-,-,-,-,-
abui1241,b,-,-,a,-,-,l,-,-,-,-,-,e,-,-,-
adan1251,f,-,-,a,-,-,l,-,-,-,-,-,a,d,Z,-
teiw1235,b,-,-,3,t,a,N,-,-,q,-,-,a,r,-,-
kaer1234,k,-,-,u,-,-,-,-,-,k,-,-,a,s,i,-
nede1245,k,-,-,e,-,i,N,k,u,k,-,-,a,-,-,-
blag1240,-,-,-,u,-,-,-,-,-,k,-,-,a,s,i,-
lamm1241,m,-,-,a,-,-,l,-,o,k,o,m,a,r,-,-
wers1238,-,-,-,a,-,i,l,-,-,-,-,-,e,-,k,-
sawi1256,y,-,-,a,-,-,-,-,-,-,-,-,a,-,m,u
kama1365,b,u,l,e,-,e,l,-,-,-,-,-,-,-,-,-
