language,x1,x2,x3,x4,x5,x6,x7,x8
kuii1254,-,t,a,k,a,-,t,a
kelo1247,-,t,3,k,o,-,t,-
abui1241,-,t,a,k,a,-,t,a
adan1251,-,t,a,7,a,-,t,a
teiw1235,-,s,i,-,i,-,s,-
kaer1234,-,s,-,-,i,-,s,o
nede1245,t,S,-,-,i,t,S,i
blag1240,-,t,-,-,a,-,t,a
lamm1241,-,s,-,-,i,-,s,a
wers1238,-,-,a,r,u,-,k,-
sawi1256,-,-,a,r,u,-,k,o
kama1365,-,-,a,-,u,-,k,a
