language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
adan1251,-,-,-,a,-,w,i,t,-,i,N,-
kelo1247,-,g,-,o,m,b,-,-,-,o,l,-
abui1241,-,h,-,a,7,b,a,k,a,i,-,-
teiw1235,-,g,-,e,-,-,-,t,-,a,r,-
kaer1234,-,g,u,a,-,-,-,t,-,-,-,-
nede1245,-,g,-,a,-,-,-,t,-,a,7,a
blag1240,a,b,-,a,-,-,-,t,-,-,-,-
lamm1241,-,g,-,a,-,-,-,d,d,u,r,-
wers1238,-,b,-,e,-,b,i,t,-,i,r,-
kama1365,-,p,-,a,-,-,-,t,-,a,-,-
