language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
kuii1254,-,-,-,-,-,b,a,-,-,t,-,a
kelo1247,-,-,-,-,a,b,a,-,-,d,-,-
abui1241,-,-,n,-,a,m,u,-,-,-,-,-
adan1251,-,-,-,-,-,b,a,m,e,d,-,-
teiw1235,-,-,d,Z,i,f,a,-,-,t,-,-
kaer1234,-,-,-,-,i,b,a,-,-,t,-,-
nede1245,-,-,-,-,-,b,a,-,-,t,t,a
blag1240,-,-,-,-,-,b,a,-,-,t,-,a
lamm1241,-,-,-,-,-,b,a,-,-,s,-,-
wers1238,-,-,l,-,e,b,o,-,-,l,-,i
sawi1256,k,a,r,-,u,p,o,-,-,-,-,-
kama1365,-,-,l,-,a,m,u,-,-,-,-,-
