language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
kuii1254,-,-,k,-,a,-,r,-,n,u,k,-,w,-,-,a,i,l,-,-,-,-,n,u,k,u
kelo1247,u,p,k,-,a,-,r,-,n,u,k,-,w,-,-,a,-,-,-,-,-,-,n,u,k,-
abui1241,-,-,k,-,a,-,r,-,n,u,k,-,w,-,-,a,-,l,-,-,-,-,n,u,k,u
adan1251,-,-,-,-,a,i,r,-,n,u,-,-,w,-,-,a,-,l,-,-,i,-,N,u,-,-
teiw1235,-,-,q,a,a,-,r,-,n,u,k,-,-,-,-,-,-,r,-,-,u,g,n,u,k,-
kaer1234,-,-,X,-,a,-,r,-,n,u,k,-,b,-,-,e,-,t,-,-,i,-,n,u,k,o
blag1240,-,-,-,-,a,-,r,-,n,u,-,-,b,e,t,a,-,l,-,-,-,-,n,u,-,-
lamm1241,-,-,k,e,a,-,-,-,n,u,k,u,w,-,-,a,-,l,-,-,-,-,-,i,y,e
wers1238,-,-,-,-,a,-,d,a,y,o,k,u,w,-,-,e,-,r,e,s,i,N,n,o,-,-
kama1365,-,-,-,-,-,-,-,-,-,-,-,-,w,a,-,a,-,l,-,-,-,-,-,-,-,-
