language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
kuii1254,-,-,-,-,p,u,n,e,i,-,-,-
kelo1247,-,-,e,-,p,-,-,e,r,-,-,-
abui1241,-,-,-,-,p,i,-,e,i,l,a,-
adan1251,-,-,-,-,p,-,-,e,i,-,-,-
teiw1235,a,y,i,-,v,-,-,a,r,-,-,-
kaer1234,-,-,i,-,p,-,-,a,r,-,-,-
nede1245,-,-,-,-,v,-,-,a,-,-,-,-
alor1249,-,h,i,-,p,-,-,a,r,-,-,-
blag1240,-,y,i,-,p,-,-,a,r,-,-,-
lamm1241,-,h,i,p,p,-,-,e,-,-,-,-
wers1238,-,-,-,-,w,-,-,o,r,m,a,i
kama1365,-,-,-,-,f,-,-,o,-,-,-,i
