language,x1,x2,x3,x4,x5
egyp1253,7,a,X,a,d
jude1266,q,3,X,3,d
jude1266,g,i,X,a,d
nort3139,k,a,X,a,d
nort3139,7,a,X,a,d
gulf1241,g,a,X,a,d
malt1254,7,a,X,a,d
chad1249,g,a,7,a,d
uzbe1248,q,a,X,a,d
cypr1248,q,-,X,-,d
