language,x1,x2,x3,x4,x5
egyp1253,S,a,m,-,s
jude1266,S,a,m,-,s
jude1266,S,a,m,i,s
nort3139,S,a,m,-,s
nort3139,S,a,m,3,s
moro1292,S,e,m,-,S
gulf1241,S,a,m,-,s
jude1267,S,a,m,-,s
malt1254,S,e,m,-,S
chad1249,S,a,m,-,-
uzbe1248,S,a,m,-,s
cypr1248,S,i,m,p,s
