language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
gami1243,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,u,-,r,-,-,-,u,-,-,-,-,i,-
gami1243,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,u,-,r,-,-,-,u,-,-,-,w,i,-
wira1262,-,-,g,-,-,-,-,i,-,r,i,N,-,-,g,-,-,i,-,r,-,-,-,-,-,-,-,-,i,N
muru1266,-,-,-,-,-,-,-,-,-,-,-,m,-,a,p,-,-,u,-,r,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,m,-,-,-,-,u,-,-,-,n,-,u,m,-,-,u,-,n,-,-,-,u,m,-,-,b,a,-
darl1243,-,-,g,-,-,-,-,a,-,-,-,N,-,-,-,-,-,a,-,r,-,-,-,-,-,-,-,-,a,-
guny1241,-,-,N,-,-,-,-,a,-,-,-,5,-,-,b,-,-,a,-,d,-,-,-,-,-,-,-,-,-,-
marg1253,-,-,N,-,-,-,-,a,-,-,-,5,-,-,b,-,-,a,-,d,-,-,-,-,-,-,-,-,-,-
kung1258,-,-,w,-,-,-,-,i,-,-,-,5,-,-,b,-,-,i,-,r,-,-,-,-,-,-,-,-,-,-
gugu1255,-,-,N,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,a,-
kuku1273,-,-,T,i,l,a,w,a,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,i,-
dyaa1242,-,-,g,-,-,-,-,a,-,-,-,5,-,-,T,-,-,a,n,g,-,-,-,a,5,-,-,T,a,n
yidi1250,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,a,n
warr1255,-,-,b,-,-,-,-,a,-,-,-,n,-,-,-,-,-,i,-,r,-,-,-,-,-,-,-,-,a,-
paka1251,-,-,k,-,-,-,-,i,-,b,-,m,-,-,b,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
kuku1280,-,-,k,-,-,-,-,i,-,-,-,m,-,-,p,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
wikm1247,-,-,k,-,-,-,-,i,-,-,-,m,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
umpi1239,-,-,t,-,-,-,-,i,-,y,i,n,-,-,k,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,w,-,-,-,-,u,-,y,i,5,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
gurd1238,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,r,-,-,-,-,-,-,-,-,-,-
